wavelength(m), Y
1.5e-06, 5.83466e-11
1.50101e-06, 5.63988e-11
1.50202e-06, 5.56115e-11
1.50303e-06, 5.62366e-11
1.50404e-06, 5.83969e-11
1.50505e-06, 6.20678e-11
1.50606e-06, 6.70744e-11
1.50707e-06, 7.31031e-11
1.50808e-06, 7.97283e-11
1.50909e-06, 8.6449e-11
1.5101e-06, 9.27337e-11
1.51111e-06, 9.80682e-11
1.51212e-06, 1.02002e-10
1.51313e-06, 1.04188e-10
1.51414e-06, 1.04415e-10
1.51515e-06, 1.02624e-10
1.51616e-06, 9.89146e-11
1.51717e-06, 9.35366e-11
1.51818e-06, 8.68672e-11
1.51919e-06, 7.93787e-11
1.5202e-06, 7.15994e-11
1.52121e-06, 6.40694e-11
1.52222e-06, 5.72971e-11
1.52323e-06, 5.17199e-11
1.52424e-06, 4.76711e-11
1.52525e-06, 4.53579e-11
1.52626e-06, 4.48491e-11
1.52727e-06, 4.60763e-11
1.52828e-06, 4.88454e-11
1.52929e-06, 5.28589e-11
1.5303e-06, 5.7745e-11
1.53131e-06, 6.30924e-11
1.53232e-06, 6.84861e-11
1.53333e-06, 7.35422e-11
1.53434e-06, 7.79378e-11
1.53535e-06, 8.14343e-11
1.53636e-06, 8.38924e-11
1.53737e-06, 8.52774e-11
1.53838e-06, 8.56551e-11
1.53939e-06, 8.51796e-11
1.5404e-06, 8.40731e-11
1.54141e-06, 8.2602e-11
1.54242e-06, 8.10487e-11
1.54343e-06, 7.9685e-11
1.54444e-06, 7.87463e-11
1.54545e-06, 7.84109e-11
1.54646e-06, 7.87851e-11
1.54747e-06, 7.98951e-11
1.54848e-06, 8.16866e-11
1.54949e-06, 8.40312e-11
1.55051e-06, 8.67393e-11
1.55152e-06, 8.95783e-11
1.55253e-06, 9.22938e-11
1.55354e-06, 9.46324e-11
1.55455e-06, 9.63642e-11
1.55556e-06, 9.73032e-11
1.55657e-06, 9.73234e-11
1.55758e-06, 9.63704e-11
1.55859e-06, 9.44668e-11
1.5596e-06, 9.17111e-11
1.56061e-06, 8.82714e-11
1.56162e-06, 8.43723e-11
1.56263e-06, 8.0279e-11
1.56364e-06, 7.62764e-11
1.56465e-06, 7.26479e-11
1.56566e-06, 6.96538e-11
1.56667e-06, 6.75111e-11
1.56768e-06, 6.63772e-11
1.56869e-06, 6.63368e-11
1.5697e-06, 6.73952e-11
1.57071e-06, 6.94772e-11
1.57172e-06, 7.24317e-11
1.57273e-06, 7.60421e-11
1.57374e-06, 8.00419e-11
1.57475e-06, 8.41335e-11
1.57576e-06, 8.80107e-11
1.57677e-06, 9.13803e-11
1.57778e-06, 9.39846e-11
1.57879e-06, 9.56206e-11
1.5798e-06, 9.61558e-11
1.58081e-06, 9.55387e-11
1.58182e-06, 9.38038e-11
1.58283e-06, 9.10704e-11
1.58384e-06, 8.75344e-11
1.58485e-06, 8.34559e-11
1.58586e-06, 7.914e-11
1.58687e-06, 7.49162e-11
1.58788e-06, 7.11137e-11
1.58889e-06, 6.80383e-11
1.5899e-06, 6.5949e-11
1.59091e-06, 6.50395e-11
1.59192e-06, 6.54225e-11
1.59293e-06, 6.7121e-11
1.59394e-06, 7.00658e-11
1.59495e-06, 7.40985e-11
1.59596e-06, 7.89829e-11
1.59697e-06, 8.44203e-11
1.59798e-06, 9.00706e-11
1.59899e-06, 9.55758e-11
1.6e-06, 1.00585e-10
1.5e-06, 0.858968
1.50101e-06, 0.858866
1.50202e-06, 0.858763
1.50303e-06, 0.85866
1.50404e-06, 0.858555
1.50505e-06, 0.858449
1.50606e-06, 0.858342
1.50707e-06, 0.858234
1.50808e-06, 0.858125
1.50909e-06, 0.858014
1.5101e-06, 0.857903
1.51111e-06, 0.857791
1.51212e-06, 0.857678
1.51313e-06, 0.857565
1.51414e-06, 0.857451
1.51515e-06, 0.857336
1.51616e-06, 0.857222
1.51717e-06, 0.857107
1.51818e-06, 0.856993
1.51919e-06, 0.856879
1.5202e-06, 0.856765
1.52121e-06, 0.856652
1.52222e-06, 0.85654
1.52323e-06, 0.856428
1.52424e-06, 0.856318
1.52525e-06, 0.856209
1.52626e-06, 0.856101
1.52727e-06, 0.855994
1.52828e-06, 0.855889
1.52929e-06, 0.855784
1.5303e-06, 0.855681
1.53131e-06, 0.855579
1.53232e-06, 0.855479
1.53333e-06, 0.855379
1.53434e-06, 0.855281
1.53535e-06, 0.855183
1.53636e-06, 0.855086
1.53737e-06, 0.85499
1.53838e-06, 0.854894
1.53939e-06, 0.854799
1.5404e-06, 0.854703
1.54141e-06, 0.854608
1.54242e-06, 0.854512
1.54343e-06, 0.854416
1.54444e-06, 0.854319
1.54545e-06, 0.854221
1.54646e-06, 0.854123
1.54747e-06, 0.854023
