y(m), Y
-1.5e-06, 0.0380522
-1.43726e-06, 0.0210718
-1.36392e-06, 0.0325542
-1.29059e-06, 0.0556917
-1.21726e-06, 0.072078
-1.14392e-06, 0.0772441
-1.07059e-06, 0.0700422
-9.97256e-07, 0.0516149
-9.23923e-07, 0.0249951
-8.50589e-07, 0.00608756
-7.77256e-07, 0.0353093
-7.03922e-07, 0.0593214
-6.30588e-07, 0.0743862
-5.57255e-07, 0.0789432
-4.83921e-07, 0.073809
-4.10588e-07, 0.0628558
-3.37254e-07, 0.0542248
-2.6392e-07, 0.0636104
-1.90587e-07, 0.114941
-1.35678e-07, 0.205411
-8.50329e-08, 0.353982
-4.39195e-08, 0.547818
-1.31356e-08, 0.755844
1.76483e-08, 1.02795
4.84322e-08, 1.24484
7.92161e-08, 1.39219
1.1e-07, 1.45896
1.40784e-07, 1.43845
1.71568e-07, 1.3292
2.02352e-07, 1.1355
2.33136e-07, 0.86763
2.63919e-07, 0.659333
3.04697e-07, 0.461275
3.53009e-07, 0.303555
4.07025e-07, 0.188716
4.78578e-07, 0.0956753
5.50131e-07, 0.0398417
6.21683e-07, 0.0232544
6.93236e-07, 0.041146
7.64789e-07, 0.056028
8.36342e-07, 0.063016
9.07895e-07, 0.0630993
9.79447e-07, 0.0589659
1.051e-06, 0.0545348
1.1108e-06, 0.0531691
1.1706e-06, 0.0542674
1.2304e-06, 0.0562124
1.2902e-06, 0.0574679
1.35e-06, 0.0585553


