lambda(m), Y
1.6e-06, 0.0567522
1.59964e-06, 0.0581325
1.59929e-06, 0.0595507
1.59893e-06, 0.0610071
1.59857e-06, 0.0625022
1.59822e-06, 0.0640363
1.59786e-06, 0.0656096
1.59751e-06, 0.0672227
1.59715e-06, 0.0688756
1.5968e-06, 0.0705688
1.59644e-06, 0.0723024
1.59609e-06, 0.0740766
1.59573e-06, 0.0758918
1.59538e-06, 0.0777479
1.59502e-06, 0.0796452
1.59467e-06, 0.0815838
1.59431e-06, 0.0835638
1.59396e-06, 0.0855852
1.5936e-06, 0.0876481
1.59325e-06, 0.0897524
1.5929e-06, 0.0918982
1.59254e-06, 0.0940853
1.59219e-06, 0.0963137
1.59184e-06, 0.0985834
1.59148e-06, 0.100894
1.59113e-06, 0.103245
1.59078e-06, 0.105638
1.59043e-06, 0.10807
1.59007e-06, 0.110543
1.58972e-06, 0.113055
1.58937e-06, 0.115607
1.58902e-06, 0.118198
1.58867e-06, 0.120828
1.58831e-06, 0.123496
1.58796e-06, 0.126202
1.58761e-06, 0.128945
1.58726e-06, 0.131725
1.58691e-06, 0.134541
1.58656e-06, 0.137393
1.58621e-06, 0.14028
1.58586e-06, 0.143201
1.58551e-06, 0.146156
1.58516e-06, 0.149144
1.58481e-06, 0.152164
1.58446e-06, 0.155215
1.58411e-06, 0.158297
1.58376e-06, 0.161409
1.58341e-06, 0.164549
1.58306e-06, 0.167718
1.58271e-06, 0.170913
1.58236e-06, 0.174135
1.58201e-06, 0.177381
1.58166e-06, 0.180652
1.58131e-06, 0.183946
1.58096e-06, 0.187262
1.58062e-06, 0.190598
1.58027e-06, 0.193954
1.57992e-06, 0.197329
1.57957e-06, 0.200721
1.57923e-06, 0.20413
1.57888e-06, 0.207553
1.57853e-06, 0.21099
1.57818e-06, 0.21444
1.57784e-06, 0.2179
1.57749e-06, 0.221371
1.57714e-06, 0.22485
1.5768e-06, 0.228337
1.57645e-06, 0.231829
1.5761e-06, 0.235326
1.57576e-06, 0.238826
1.57541e-06, 0.242327
1.57507e-06, 0.245829
1.57472e-06, 0.24933
1.57437e-06, 0.252828
1.57403e-06, 0.256322
1.57368e-06, 0.259811
1.57334e-06, 0.263293
1.57299e-06, 0.266766
1.57265e-06, 0.27023
1.5723e-06, 0.273682
1.57196e-06, 0.277121
1.57162e-06, 0.280546
1.57127e-06, 0.283955
1.57093e-06, 0.287346
1.57058e-06, 0.290719
1.57024e-06, 0.294071
1.5699e-06, 0.297401
1.56955e-06, 0.300708
1.56921e-06, 0.303991
1.56887e-06, 0.307246
1.56852e-06, 0.310475
1.56818e-06, 0.313673
1.56784e-06, 0.316841
1.5675e-06, 0.319977
1.56715e-06, 0.323079
1.56681e-06, 0.326147
1.56647e-06, 0.329177
1.56613e-06, 0.33217
1.56579e-06, 0.335124
1.56545e-06, 0.338037
1.5651e-06, 0.340908
1.56476e-06, 0.343736
1.56442e-06, 0.346519
1.56408e-06, 0.349256
1.56374e-06, 0.351946
1.5634e-06, 0.354588
1.56306e-06, 0.35718
1.56272e-06, 0.359721
1.56238e-06, 0.36221
1.56204e-06, 0.364646
1.5617e-06, 0.367028
1.56136e-06, 0.369354
1.56102e-06, 0.371624
1.56068e-06, 0.373836
1.56034e-06, 0.37599
1.56e-06, 0.378084
1.55966e-06, 0.380117
