["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(302, 3)
1.8737028625000000e+14 2.0724450682312878e-03 1.6912752763675762e+00
1.8741206334838350e+14 2.0912267974028294e-03 1.7774624748293761e+00
1.8745384044676700e+14 2.1203266372671653e-03 1.8641896277405268e+00
1.8749561754515050e+14 2.1601725965610338e-03 1.9507625101855883e+00
1.8753739464353400e+14 2.2110400653463803e-03 2.0365061116590915e+00
1.8757917174191750e+14 2.2730517213577313e-03 2.1208020565860295e+00
1.8762094884030100e+14 2.3461878704326517e-03 2.2031183242498069e+00
1.8766272593868450e+14 2.4303049698059403e-03 2.2830281541346178e+00
1.8770450303706800e+14 2.5251592013697307e-03 2.3602173754266405e+00
1.8774628013545150e+14 2.6304318473063955e-03 2.4344814777978510e+00
1.8778805723383500e+14 2.7457537246552747e-03 2.5057150480877319e+00
1.8782983433221850e+14 2.8707267739699360e-03 2.5738966205490645e+00
1.8787161143060200e+14 3.0049417870985215e-03 2.6390717135412216e+00
1.8791338852898550e+14 3.1479920059287935e-03 2.7013361649768153e+00
1.8795516562736900e+14 3.2994828427428324e-03 2.7608211194209611e+00
1.8799694272575250e+14 3.4590382646364649e-03 2.8176803494524503e+00
1.8803871982413600e+14 3.6263044958832055e-03 2.8720800959444128e+00
1.8808049692251950e+14 3.8009516837454274e-03 2.9241912943416910e+00
1.8812227402090300e+14 3.9826740983410760e-03 2.9741838855384657e+00
1.8816405111928650e+14 4.1711893353050498e-03 3.0222228471437695e+00
1.8820582821767000e+14 4.3662368855823938e-03 3.0684655836843300e+00
1.8824760531605350e+14 4.5675763431327378e-03 3.1130603518925524e+00
1.8828938241443700e+14 4.7749854435989994e-03 3.1561454490625485e+00
1.8833115951282050e+14 4.9882580661400090e-03 3.1978489460988020e+00
1.8837293661120400e+14 5.2072022847298094e-03 3.2382887958996833e+00
1.8841471370958750e+14 5.4316385218396816e-03 3.2775731893433435e+00
1.8845649080797100e+14 5.6613978339540329e-03 3.3158010648738414e+00
1.8849826790635450e+14 5.8963203422379437e-03 3.3530627040836545e+00
1.8854004500473800e+14 6.1362538110836685e-03 3.3894403658259815e+00
1.8858182210312150e+14 6.3810523705604277e-03 3.4250089264291685e+00
1.8862359920150500e+14 6.6305753747978053e-03 3.4598365046056649e+00
1.8866537629988853e+14 6.8846863862233841e-03 3.4939850575993852e+00
1.8870715339827203e+14 7.1432522746811998e-03 3.5275109407414837e+00
1.8874893049665553e+14 7.4061424204013718e-03 3.5604654265047908e+00
1.8879070759503903e+14 7.6732280101482414e-03 3.5928951818069765e+00
1.8883248469342253e+14 7.9443814165885331e-03 3.6248427040748057e+00
1.8887426179180603e+14 8.2194756517518525e-03 3.6563467176975588e+00
1.8891603889018953e+14 8.4983838862916598e-03 3.6874425331611134e+00
1.8895781598857303e+14 8.7809790271640448e-03 3.7181623715061680e+00
1.8899959308695653e+14 9.0671333471530249e-03 3.7485356568930159e+00
1.8904137018534003e+14 9.3567181604312100e-03 3.7785892800523935e+00
1.8908314728372353e+14 9.6496035390702273e-03 3.8083478353107978e+00
1.8912492438210703e+14 9.9456580660249004e-03 3.8378338337325579e+00
1.8916670148049053e+14 1.0244748620684533e-02 3.8670678947445123e+00
1.8920847857887403e+14 1.0546740193595593e-02 3.8960689184209603e+00
1.8925025567725753e+14 1.0851495727375766e-02 3.9248542404147080e+00
1.8929203277564103e+14 1.1158875981249297e-02 3.9534397713350731e+00
1.8933380987402453e+14 1.1468739416947043e-02 3.9818401221964397e+00
1.8937558697240803e+14 1.1780942104018319e-02 4.0100687173969840e+00
1.8941736407079153e+14 1.2095337642882053e-02 4.0381378965352637e+00
1.8945914116917503e+14 1.2411777104101763e-02 4.0660590062347133e+00
1.8950091826755853e+14 1.2730108982650163e-02 4.0938424830201221e+00
1.8954269536594203e+14 1.3050179166011602e-02 4.1214979281781643e+00
1.8958447246432553e+14 1.3371830915192291e-02 4.1490341754322353e+00
1.8962624956270903e+14 1.3694904857770506e-02 4.1764593521732944e+00
1.8966802666109253e+14 1.4019238992279099e-02 4.2037809349033299e+00
1.8970980375947603e+14 1.4344668703284475e-02 4.2310057994831300e+00
1.8975158085785953e+14 1.4671026786596621e-02 4.2581402667042649e+00
1.8979335795624303e+14 1.4998143484158729e-02 4.2851901436559343e+00
1.8983513505462653e+14 1.5325846528175549e-02 4.3121607613006159e+00
1.8987691215301003e+14 1.5653961194139521e-02 4.3390570086323255e+00
1.8991868925139353e+14 1.5982310362423063e-02 4.3658833637487877e+00
1.8996046634977703e+14 1.6310714588167668e-02 4.3926439221352167e+00
1.9000224344816053e+14 1.6638992179230726e-02 4.4193424224241831e+00
1.9004402054654403e+14 1.6966959281967241e-02 4.4459822698710312e+00
1.9008579764492753e+14 1.7294429974669963e-02 4.4725665577566751e+00
1.9012757474331103e+14 1.7621216368484759e-02 4.4990980869091430e+00
1.9016935184169453e+14 1.7947128715665131e-02 4.5255793835159066e+00
1.9021112894007803e+14 1.8271975525012280e-02 4.5520127153807293e+00
1.9025290603846153e+14 1.8595563684386758e-02 4.5784001067630573e+00
1.9029468313684503e+14 1.8917698590165927e-02 4.6047433519257837e+00
1.9033646023522853e+14 1.9238184283531731e-02 4.6310440275029263e+00
1.9037823733361203e+14 1.9556823593487330e-02 4.6573035037881843e+00
1.9042001443199553e+14 1.9873418286492129e-02 4.6835229550369180e+00
1.9046179153037903e+14 2.0187769222604259e-02 4.7097033688623915e+00
1.9050356862876253e+14 2.0499676518029874e-02 4.7358455548025447e+00
1.9054534572714603e+14 2.0808939713963030e-02 4.7619501521237666e+00
1.9058712282552953e+14 2.1115357951605244e-02 4.7880176369223628e+00
1.9062889992391303e+14 2.1418730153239883e-02 4.8140483285805624e+00
1.9067067702229653e+14 2.1718855209243229e-02 4.8400423956254102e+00
1.9071245412068003e+14 2.2015532170887912e-02 4.8659998610372881e+00
1.9075423121906353e+14 2.2308560448803780e-02 4.8919206070491281e+00
1.9079600831744703e+14 2.2597740016949957e-02 4.9178043794734876e+00
1.9083778541583053e+14 2.2882871621919001e-02 4.9436507915918080e+00
1.9087956251421403e+14 2.3163756997419561e-02 4.9694593276373853e+00
1.9092133961259753e+14 2.3440199083754127e-02 4.9952293458994745e+00
1.9096311671098103e+14 2.3712002252078607e-02 5.0209600814745592e+00
1.9100489380936453e+14 2.3978972533257953e-02 5.0466506486890168e+00
