lambda(m), Y
1.6e-06, 0.092434
1.59964e-06, 0.094792
1.59929e-06, 0.0971954
1.59893e-06, 0.0996443
1.59857e-06, 0.102138
1.59822e-06, 0.104678
1.59786e-06, 0.107261
1.59751e-06, 0.10989
1.59715e-06, 0.112563
1.5968e-06, 0.115279
1.59644e-06, 0.118039
1.59609e-06, 0.120843
1.59573e-06, 0.123689
1.59538e-06, 0.126577
1.59502e-06, 0.129507
1.59467e-06, 0.132478
1.59431e-06, 0.135489
1.59396e-06, 0.138541
1.5936e-06, 0.141631
1.59325e-06, 0.144761
1.5929e-06, 0.147928
1.59254e-06, 0.151132
1.59219e-06, 0.154373
1.59184e-06, 0.157649
1.59148e-06, 0.160959
1.59113e-06, 0.164303
1.59078e-06, 0.16768
1.59043e-06, 0.171089
1.59007e-06, 0.174528
1.58972e-06, 0.177997
1.58937e-06, 0.181494
1.58902e-06, 0.185019
1.58867e-06, 0.188571
1.58831e-06, 0.192148
1.58796e-06, 0.195748
1.58761e-06, 0.199372
1.58726e-06, 0.203017
1.58691e-06, 0.206682
1.58656e-06, 0.210366
1.58621e-06, 0.214068
1.58586e-06, 0.217786
1.58551e-06, 0.221518
1.58516e-06, 0.225265
1.58481e-06, 0.229023
1.58446e-06, 0.232791
1.58411e-06, 0.236569
1.58376e-06, 0.240355
1.58341e-06, 0.244146
1.58306e-06, 0.247942
1.58271e-06, 0.251741
1.58236e-06, 0.255541
1.58201e-06, 0.259341
1.58166e-06, 0.263139
1.58131e-06, 0.266934
1.58096e-06, 0.270724
1.58062e-06, 0.274507
1.58027e-06, 0.278282
1.57992e-06, 0.282047
1.57957e-06, 0.2858
1.57923e-06, 0.28954
1.57888e-06, 0.293266
1.57853e-06, 0.296974
1.57818e-06, 0.300664
1.57784e-06, 0.304335
1.57749e-06, 0.307984
1.57714e-06, 0.311609
1.5768e-06, 0.31521
1.57645e-06, 0.318783
1.5761e-06, 0.322329
1.57576e-06, 0.325845
1.57541e-06, 0.329329
1.57507e-06, 0.33278
1.57472e-06, 0.336196
1.57437e-06, 0.339575
1.57403e-06, 0.342917
1.57368e-06, 0.346219
1.57334e-06, 0.34948
1.57299e-06, 0.352698
1.57265e-06, 0.355872
1.5723e-06, 0.358999
1.57196e-06, 0.36208
1.57162e-06, 0.365112
1.57127e-06, 0.368093
1.57093e-06, 0.371023
1.57058e-06, 0.3739
1.57024e-06, 0.376723
1.5699e-06, 0.379489
1.56955e-06, 0.382199
1.56921e-06, 0.384849
1.56887e-06, 0.387441
1.56852e-06, 0.389971
1.56818e-06, 0.392439
1.56784e-06, 0.394844
1.5675e-06, 0.397184
1.56715e-06, 0.399459
1.56681e-06, 0.401667
1.56647e-06, 0.403807
1.56613e-06, 0.405879
1.56579e-06, 0.407881
1.56545e-06, 0.409812
1.5651e-06, 0.411672
1.56476e-06, 0.413459
1.56442e-06, 0.415174
1.56408e-06, 0.416814
1.56374e-06, 0.41838
1.5634e-06, 0.41987
1.56306e-06, 0.421285
1.56272e-06, 0.422623
1.56238e-06, 0.423883
1.56204e-06, 0.425066
1.5617e-06, 0.426171
1.56136e-06, 0.427198
1.56102e-06, 0.428145
1.56068e-06, 0.429013
1.56034e-06, 0.429802
1.56e-06, 0.430511
1.55966e-06, 0.431139
1.55932e-06, 0.431688
1.55898e-06, 0.432156
1.55864e-06, 0.432544
1.55831e-06, 0.432851
1.55797e-06, 0.433078
1.55763e-06, 0.433225
1.55729e-06, 0.433291
1.55695e-06, 0.433277
1.55662e-06, 0.433184
1.55628e-06, 0.43301
1.55594e-06, 0.432757
1.5556e-06, 0.432425
1.55527e-06, 0.432015
1.55493e-06, 0.431526
1.55459e-06, 0.430959
1.55426e-06, 0.430315
1.55392e-06, 0.429594
1.55358e-06, 0.428797
1.55325e-06, 0.427924
1.55291e-06, 0.426976
1.55257e-06, 0.425954
1.55224e-06, 0.424858
1.5519e-06, 0.423689
1.55157e-06, 0.422448
1.55123e-06, 0.421136
1.5509e-06, 0.419754
1.55056e-06, 0.418302
1.55023e-06, 0.416782
1.54989e-06, 0.415194
1.54956e-06, 0.41354
1.54922e-06, 0.41182
1.54889e-06, 0.410036
1.54855e-06, 0.408188
1.54822e-06, 0.406278
1.54789e-06, 0.404307
1.54755e-06, 0.402276
1.54722e-06, 0.400187
1.54689e-06, 0.398039
1.54655e-06, 0.395836
1.54622e-06, 0.393577
1.54589e-06, 0.391265
1.54555e-06, 0.3889
1.54522e-06, 0.386485
1.54489e-06, 0.384019
1.54455e-06, 0.381505
1.54422e-06, 0.378944
