lambda(nm), Y
1600, 3524.57
1594.68, 4252.45
1589.4, 9160.95
1584.16, 3903.7
1578.95, 3105.91
1573.77, 2800.81
1568.63, 9394.11
1563.52, 6419.58
1558.44, 33374.5
1553.4, 2878.27
1548.54, 11167.3
1548.39, 11005.2
1548.23, 10848.4
1543.41, 6446.48
1538.46, 7752.13
1533.55, 22094.6
1528.66, 22636.3
1523.81, 18456.6
1518.99, 4783.18
1514.2, 104016
1509.43, 31916.7
1504.7, 48286.7
1500, 70657.8
1600, 3529.53
1594.68, 5860.62
1589.4, 3245.1
1584.16, 5554.48
1578.95, 11137
1573.77, 5515.76
1568.63, 18201.9
1563.52, 6061.72
1558.44, 19350.9
1553.4, 4304.95
1548.54, 1476.81
1548.39, 1398.39
1548.23, 1331.45
1543.41, 4083.61
1538.46, 3824.69
1533.55, 76865.2
1528.66, 10113.9
1523.81, 4471.08
1518.99, 15898
1514.2, 32391.1
1509.43, 23067.1
1504.7, 47359.6
1500, 159050
1600, 654.425
1594.68, 1431.38
1589.4, 1162.45
1584.16, 866.241
1578.95, 207.45
1573.77, 518.169
1568.63, 7250.59
1563.52, 5530.94
1558.44, 14463.1
1553.4, 5678.75
1548.54, 2523.74
1548.39, 2368.7
1548.23, 2233.21
1543.41, 3650.82
1538.46, 1736.24
1533.55, 1592.04
1528.66, 5210.6
1523.81, 3335.19
1518.99, 7714.4
1514.2, 9316.96
1509.43, 2358.5
1504.7, 2588.14
1500, 8557.24
1600, 3430.34
1594.68, 5575.06
1589.4, 3114.41
1584.16, 5518.29
1578.95, 11729.4
1573.77, 6434.09
1568.63, 23689.1
1563.52, 8927.99
1558.44, 33437.2
1553.4, 8577.39
1548.54, 3295.59
1548.39, 3130.31
1548.23, 2989.56
1543.41, 9571.03
1538.46, 8027.98
1533.55, 128686
1528.66, 12279.1
1523.81, 3673.21
1518.99, 8731.61
1514.2, 11662.4
1509.43, 5524.48
1504.7, 7601.42
1500, 16646.7
