wavelength(nm), Y
1601.67, -4.9679
1601.56, -4.9679
1601.45, -4.9679
1601.35, -4.9679
1601.24, -4.9679
1601.13, -4.9679
1601.03, -4.9679
1600.92, -4.9679
1600.81, -4.9679
1600.71, -4.9679
1600.6, -4.9679
1600.49, -4.9679
1600.39, -4.9679
1600.28, -4.9679
1600.17, -4.9679
1600.07, -4.9679
1599.96, -4.96591
1599.85, -4.96062
1599.75, -4.95533
1599.64, -4.95004
1599.53, -4.94476
1599.43, -4.93947
1599.32, -4.9342
1599.21, -4.92892
1599.11, -4.92365
1599, -4.91838
1598.9, -4.91312
1598.79, -4.90785
1598.68, -4.90259
1598.58, -4.89734
1598.47, -4.89209
1598.36, -4.88684
1598.26, -4.88159
1598.15, -4.87635
1598.04, -4.87111
1597.94, -4.86587
1597.83, -4.86064
1597.73, -4.85541
1597.62, -4.85018
1597.51, -4.84495
1597.41, -4.83973
1597.3, -4.83451
1597.19, -4.8293
1597.09, -4.82409
1596.98, -4.81888
1596.88, -4.81367
1596.77, -4.80847
1596.66, -4.80327
1596.56, -4.79808
1596.45, -4.79288
1596.35, -4.78769
1596.24, -4.78251
1596.13, -4.77732
1596.03, -4.77214
1595.92, -4.76696
1595.82, -4.76179
1595.71, -4.75662
1595.6, -4.75145
1595.5, -4.74629
1595.39, -4.74112
1595.29, -4.73596
1595.18, -4.73081
1595.07, -4.72565
1594.97, -4.7205
1594.86, -4.71536
1594.76, -4.71021
1594.65, -4.70513
1594.54, -4.70018
1594.44, -4.69523
1594.33, -4.69028
1594.23, -4.68534
1594.12, -4.6804
1594.02, -4.67546
1593.91, -4.67052
1593.8, -4.66559
1593.7, -4.66066
1593.59, -4.65573
1593.49, -4.65081
1593.38, -4.64589
1593.28, -4.64097
1593.17, -4.63605
1593.06, -4.63114
1592.96, -4.62623
1592.85, -4.62132
1592.75, -4.61641
1592.64, -4.61151
1592.54, -4.60661
1592.43, -4.60171
1592.33, -4.59682
1592.22, -4.59193
1592.11, -4.58704
1592.01, -4.58215
1591.9, -4.57727
1591.8, -4.57239
1591.69, -4.56751
1591.59, -4.56264
1591.48, -4.55777
1591.38, -4.5529
1591.27, -4.54803
1591.16, -4.54316
1591.06, -4.5383
1590.95, -4.53345
1590.85, -4.52859
1590.74, -4.52374
1590.64, -4.51889
1590.53, -4.51404
1590.43, -4.50919
1590.32, -4.50435
1590.22, -4.49951
1590.11, -4.49467
1590.01, -4.48984
1589.9, -4.48501
1589.8, -4.48018
1589.69, -4.47535
1589.59, -4.47053
1589.48, -4.46571
1589.38, -4.46094
1589.27, -4.4563
1589.17, -4.45166
1589.06, -4.44703
1588.96, -4.44239
1588.85, -4.43776
1588.74, -4.43314
1588.64, -4.42851
1588.53, -4.42389
1588.43, -4.41927
1588.32, -4.41465
1588.22, -4.41004
1588.11, -4.40543
1588.01, -4.40082
1587.9, -4.39621
1587.8, -4.3916
1587.69, -4.387
1587.59, -4.3824
1587.49, -4.3778
1587.38, -4.37321
1587.28, -4.36861
1587.17, -4.36402
1587.07, -4.35943
1586.96, -4.35485
1586.86, -4.35027
1586.75, -4.34568
1586.65, -4.34111
1586.54, -4.33653
1586.44, -4.33196
1586.33, -4.32739
1586.23, -4.32282
1586.12, -4.31825
1586.02, -4.31369
1585.91, -4.30912
1585.81, -4.30456
1585.7, -4.30001
1585.6, -4.29545
1585.49, -4.2909
1585.39, -4.28635
1585.29, -4.2818
1585.18, -4.27726
1585.08, -4.27272
1584.97, -4.26818
1584.87, -4.26364
1584.76, -4.2591
1584.66, -4.25457
1584.55, -4.25004
1584.45, -4.24551
1584.34, -4.24098
1584.24, -4.23646
1584.14, -4.23198
1584.03, -4.22762
1583.93, -4.22326
1583.82, -4.21891
1583.72, -4.21455
1583.61, -4.2102
1583.51, -4.20586
1583.4, -4.20151
1583.3, -4.19717
1583.2, -4.19283
1583.09, -4.18849
1582.99, -4.18415
1582.88, -4.17982
1582.78, -4.17548
1582.67, -4.17115
1582.57, -4.16682
1582.47, -4.1625
1582.36, -4.15817
1582.26, -4.15385
1582.15, -4.14953
1582.05, -4.14522
1581.95, -4.1409
1581.84, -4.13659
1581.74, -4.13228
1581.63, -4.12797
1581.53, -4.12366
1581.42, -4.11936
1581.32, -4.11505
1581.22, -4.11075
1581.11, -4.10646
1581.01, -4.10216
1580.9, -4.09787
1580.8, -4.09357
1580.7, -4.08928
1580.59, -4.085
1580.49, -4.08071
1580.38, -4.07643
1580.28, -4.07215
1580.18, -4.06787
1580.07, -4.06359
1579.97, -4.05931
1579.86, -4.05504
1579.76, -4.05077
1579.66, -4.0465
1579.55, -4.04224
1579.45, -4.03797
1579.35, -4.03371
1579.24, -4.02945
1579.14, -4.02519
1579.03, -4.02093
1578.93, -4.01671
1578.83, -4.01262
1578.72, -4.00853
1578.62, -4.00445
1578.52, -4.00037
1578.41, -3.99629
1578.31, -3.99221
1578.2, -3.98813
1578.1, -3.98406
1578, -3.97999
1577.89, -3.97592
1577.79, -3.97185
1577.69, -3.96778
1577.58, -3.96372
1577.48, -3.95965
1577.38, -3.95559
1577.27, -3.95153
1577.17, -3.94748
1577.06, -3.94342
1576.96, -3.93937
1576.86, -3.93532
1576.75, -3.93127
1576.65, -3.92722
1576.55, -3.92317
1576.44, -3.91913
1576.34, -3.91509
1576.24, -3.91105
1576.13, -3.90701
1576.03, -3.90297
1575.93, -3.89894
1575.82, -3.8949
1575.72, -3.89087
1575.62, -3.88684
1575.51, -3.88282
1575.41, -3.87879
1575.31, -3.87477
1575.2, -3.87075
1575.1, -3.86673
1575, -3.86271
1574.89, -3.85869
1574.79, -3.85468
1574.69, -3.85067
1574.58, -3.84666
1574.48, -3.84265
1574.38, -3.83864
1574.27, -3.83464
1574.17, -3.83063
1574.07, -3.82663
1573.96, -3.82263
1573.86, -3.81863
1573.76, -3.81466
1573.66, -3.81082
1573.55, -3.80699
1573.45, -3.80317
1573.35, -3.79934
1573.24, -3.79551
1573.14, -3.79169
1573.04, -3.78787
1572.93, -3.78405
1572.83, -3.78023
1572.73, -3.77641
1572.63, -3.77259
1572.52, -3.76878
1572.42, -3.76497
1572.32, -3.76116
1572.21, -3.75735
1572.11, -3.75354
1572.01, -3.74974
1571.91, -3.74593
1571.8, -3.74213
1571.7, -3.73833
1571.6, -3.73453
1571.49, -3.73073
1571.39, -3.72694
1571.29, -3.72315
1571.19, -3.71935
1571.08, -3.71556
1570.98, -3.71177
1570.88, -3.70799
1570.77, -3.7042
1570.67, -3.70042
1570.57, -3.69664
1570.47, -3.69285
1570.36, -3.68908
1570.26, -3.6853
1570.16, -3.68152
1570.06, -3.67775
1569.95, -3.67398
1569.85, -3.67021
1569.75, -3.66644
1569.65, -3.66267
1569.54, -3.6589
1569.44, -3.65514
1569.34, -3.65138
1569.24, -3.64762
1569.13, -3.64386
1569.03, -3.6401
1568.93, -3.63634
1568.83, -3.63259
1568.72, -3.62884
1568.62, -3.62509
1568.52, -3.62151
1568.42, -3.61792
1568.31, -3.61433
1568.21, -3.61075
1568.11, -3.60716
1568.01, -3.60358
1567.9, -3.6
1567.8, -3.59642
1567.7, -3.59285
1567.6, -3.58927
1567.5, -3.5857
1567.39, -3.58213
1567.29, -3.57855
1567.19, -3.57499
1567.09, -3.57142
1566.98, -3.56785
1566.88, -3.56428
1566.78, -3.56072
1566.68, -3.55716
1566.58, -3.5536
1566.47, -3.55004
1566.37, -3.54648
1566.27, -3.54292
1566.17, -3.53937
1566.06, -3.53582
1565.96, -3.53226
1565.86, -3.52871
1565.76, -3.52516
1565.66, -3.52162
1565.55, -3.51807
1565.45, -3.51452
1565.35, -3.51098
1565.25, -3.50744
1565.15, -3.5039
1565.04, -3.50036
1564.94, -3.49682
1564.84, -3.49329
1564.74, -3.48975
1564.64, -3.48622
1564.54, -3.48269
1564.43, -3.47916
1564.33, -3.47563
1564.23, -3.4721
1564.13, -3.46857
1564.03, -3.46505
1563.92, -3.46152
1563.82, -3.458
1563.72, -3.45448
1563.62, -3.45096
1563.52, -3.44745
1563.42, -3.44407
1563.31, -3.44069
1563.21, -3.43732
1563.11, -3.43394
1563.01, -3.43057
1562.91, -3.4272
1562.8, -3.42382
1562.7, -3.42045
1562.6, -3.41709
1562.5, -3.41372
1562.4, -3.41035
1562.3, -3.40699
1562.2, -3.40363
1562.09, -3.40027
1561.99, -3.39691
1561.89, -3.39355
1561.79, -3.39019
1561.69, -3.38683
1561.59, -3.38348
1561.48, -3.38012
1561.38, -3.37677
1561.28, -3.37342
1561.18, -3.37007
1561.08, -3.36672
1560.98, -3.36337
1560.88, -3.36003
1560.77, -3.35668
1560.67, -3.35334
1560.57, -3.35
1560.47, -3.34666
1560.37, -3.34332
1560.27, -3.33998
1560.17, -3.33664
1560.06, -3.33331
1559.96, -3.32997
1559.86, -3.32664
1559.76, -3.32331
1559.66, -3.31997
1559.56, -3.31665
1559.46, -3.31332
1559.36, -3.30999
1559.25, -3.30666
1559.15, -3.30334
1559.05, -3.30002
1558.95, -3.2967
1558.85, -3.29338
1558.75, -3.29006
1558.65, -3.28674
1558.55, -3.28342
1558.45, -3.28011
1558.34, -3.27691
1558.24, -3.27371
1558.14, -3.27052
1558.04, -3.26732
1557.94, -3.26413
1557.84, -3.26094
1557.74, -3.25775
1557.64, -3.25457
1557.54, -3.25138
1557.44, -3.24819
1557.33, -3.24501
1557.23, -3.24183
1557.13, -3.23864
1557.03, -3.23546
1556.93, -3.23228
1556.83, -3.22911
1556.73, -3.22593
1556.63, -3.22275
1556.53, -3.21958
1556.43, -3.2164
1556.33, -3.21323
1556.22, -3.21006
1556.12, -3.20689
1556.02, -3.20372
1555.92, -3.20055
1555.82, -3.19738
1555.72, -3.19422
1555.62, -3.19105
1555.52, -3.18789
1555.42, -3.18473
1555.32, -3.18157
1555.22, -3.17841
1555.12, -3.17525
1555.02, -3.17209
