wavelength(nm), Y
1601.67, -7.15504
1601.56, -7.15504
1601.45, -7.15504
1601.35, -7.15504
1601.24, -7.15504
1601.13, -7.15504
1601.03, -7.15504
1600.92, -7.15504
1600.81, -7.15504
1600.71, -7.15504
1600.6, -7.15504
1600.49, -7.15504
1600.39, -7.15504
1600.28, -7.15504
1600.17, -7.15504
1600.07, -7.15504
1599.96, -7.15165
1599.85, -7.14263
1599.75, -7.13361
1599.64, -7.12461
1599.53, -7.11561
1599.43, -7.10662
1599.32, -7.09765
1599.21, -7.08868
1599.11, -7.07972
1599, -7.07077
1598.9, -7.06183
1598.79, -7.0529
1598.68, -7.04398
1598.58, -7.03506
1598.47, -7.02616
1598.36, -7.01727
1598.26, -7.00838
1598.15, -6.9995
1598.04, -6.99064
1597.94, -6.98178
1597.83, -6.97293
1597.73, -6.96409
1597.62, -6.95526
1597.51, -6.94643
1597.41, -6.93762
1597.3, -6.92882
1597.19, -6.92002
1597.09, -6.91123
1596.98, -6.90246
1596.88, -6.89369
1596.77, -6.88493
1596.66, -6.87618
1596.56, -6.86743
1596.45, -6.8587
1596.35, -6.84998
1596.24, -6.84126
1596.13, -6.83255
1596.03, -6.82385
1595.92, -6.81516
1595.82, -6.80648
1595.71, -6.79781
1595.6, -6.78915
1595.5, -6.78049
1595.39, -6.77184
1595.29, -6.7632
1595.18, -6.75458
1595.07, -6.74595
1594.97, -6.73734
1594.86, -6.72874
1594.76, -6.72014
1594.65, -6.71139
1594.54, -6.70228
1594.44, -6.69319
1594.33, -6.6841
1594.23, -6.67503
1594.12, -6.66596
1594.02, -6.6569
1593.91, -6.64785
1593.8, -6.63882
1593.7, -6.62979
1593.59, -6.62077
1593.49, -6.61176
1593.38, -6.60276
1593.28, -6.59377
1593.17, -6.58478
1593.06, -6.57581
1592.96, -6.56685
1592.85, -6.55789
1592.75, -6.54895
1592.64, -6.54001
1592.54, -6.53109
1592.43, -6.52217
1592.33, -6.51326
1592.22, -6.50436
1592.11, -6.49547
1592.01, -6.48659
1591.9, -6.47772
1591.8, -6.46886
1591.69, -6.46
1591.59, -6.45116
1591.48, -6.44232
1591.38, -6.43349
1591.27, -6.42468
1591.16, -6.41587
1591.06, -6.40707
1590.95, -6.39828
1590.85, -6.38949
1590.74, -6.38072
1590.64, -6.37196
1590.53, -6.3632
1590.43, -6.35445
1590.32, -6.34572
1590.22, -6.33699
1590.11, -6.32827
1590.01, -6.31956
1589.9, -6.31085
1589.8, -6.30216
1589.69, -6.29347
1589.59, -6.2848
1589.48, -6.27613
1589.38, -6.26735
1589.27, -6.25828
1589.17, -6.24922
1589.06, -6.24017
1588.96, -6.23113
1588.85, -6.2221
1588.74, -6.21308
1588.64, -6.20406
1588.53, -6.19506
1588.43, -6.18606
1588.32, -6.17708
1588.22, -6.1681
1588.11, -6.15914
1588.01, -6.15018
1587.9, -6.14123
1587.8, -6.13229
1587.69, -6.12336
1587.59, -6.11444
1587.49, -6.10553
1587.38, -6.09663
1587.28, -6.08773
1587.17, -6.07885
1587.07, -6.06997
1586.96, -6.06111
1586.86, -6.05225
1586.75, -6.0434
1586.65, -6.03456
1586.54, -6.02573
1586.44, -6.01691
1586.33, -6.0081
1586.23, -5.99929
1586.12, -5.9905
1586.02, -5.98171
1585.91, -5.97294
1585.81, -5.96417
1585.7, -5.95541
1585.6, -5.94666
1585.49, -5.93792
1585.39, -5.92919
1585.29, -5.92046
1585.18, -5.91175
1585.08, -5.90304
1584.97, -5.89435
1584.87, -5.88566
1584.76, -5.87698
1584.66, -5.8683
1584.55, -5.85964
1584.45, -5.85099
1584.34, -5.84234
1584.24, -5.83371
1584.14, -5.82501
1584.03, -5.81608
1583.93, -5.80716
1583.82, -5.79824
1583.72, -5.78934
1583.61, -5.78045
1583.51, -5.77156
1583.4, -5.76269
1583.3, -5.75382
1583.2, -5.74496
1583.09, -5.73611
1582.99, -5.72727
1582.88, -5.71844
1582.78, -5.70962
1582.67, -5.70081
1582.57, -5.692
1582.47, -5.68321
1582.36, -5.67442
1582.26, -5.66564
1582.15, -5.65688
1582.05, -5.64812
1581.95, -5.63937
1581.84, -5.63062
1581.74, -5.62189
1581.63, -5.61317
1581.53, -5.60445
1581.42, -5.59574
1581.32, -5.58704
1581.22, -5.57836
1581.11, -5.56967
1581.01, -5.561
1580.9, -5.55234
1580.8, -5.54368
1580.7, -5.53504
1580.59, -5.5264
1580.49, -5.51777
1580.38, -5.50915
1580.28, -5.50054
1580.18, -5.49194
1580.07, -5.48334
1579.97, -5.47475
1579.86, -5.46618
1579.76, -5.45761
1579.66, -5.44905
1579.55, -5.44049
1579.45, -5.43195
1579.35, -5.42341
1579.24, -5.41489
1579.14, -5.40637
1579.03, -5.39786
1578.93, -5.38931
1578.83, -5.38057
1578.72, -5.37183
1578.62, -5.36311
1578.52, -5.35439
1578.41, -5.34568
1578.31, -5.33698
1578.2, -5.32829
1578.1, -5.31961
1578, -5.31093
1577.89, -5.30227
1577.79, -5.29361
1577.69, -5.28496
