["port lower 1","LEFT"]
["port lower 2","RIGHT"]
["port upper 1","LEFT"]
["port upper 2","RIGHT"]
("port upper 1","mode 1",1,"port upper 1",1,"transmission",4.82122e-13)
(23, 3)
1.8737028624999997e+14 1.4557802015957738e-03 -1.7317469111498918e+00
1.8799485387083331e+14 4.9123126326096301e-04 -9.9527189726398990e-01
1.8861942149166662e+14 4.4606508452988605e-03 -2.6257467774108303e+00
1.8924398911249997e+14 6.2777183728855209e-03 -3.4425209015680500e+00
1.8986855673333331e+14 3.4783532238342597e-03 -4.2327812078470330e+00
1.9049312435416662e+14 5.7489864325741520e-03 -5.3248253976415212e+00
1.9111769197499997e+14 1.1282050063197361e-02 -4.8390921452464717e+00
1.9174225959583331e+14 7.5758737048661432e-03 -6.1961593427621553e+00
1.9236682721666666e+14 2.4805087282916877e-02 -6.9232277105823101e+00
1.9299139483749997e+14 1.1375892008472163e-02 -7.6197359983742068e+00
1.9359660086208747e+14 2.5030564385977970e-02 -9.0110275832633118e+00
1.9361596245833331e+14 2.5355566401864055e-02 -9.0113924360606958e+00
1.9363532405457916e+14 2.5639206011085595e-02 -9.0110275832633118e+00
1.9424053007916666e+14 1.4778070761443904e-02 -8.9074604730941545e+00
1.9486509769999997e+14 1.4304017705975929e-02 -1.0910452602138967e+01
1.9548966532083331e+14 1.7903369951207681e-02 -1.0662834334774656e+01
1.9611423294166666e+14 7.2993766027770572e-03 -1.2612827744975903e+01
1.9673880056250000e+14 1.4295032458311853e-02 -1.2859208664298722e+01
1.9736336818333331e+14 7.7751159266917216e-03 -1.4742475834874899e+01
1.9798793580416666e+14 1.1090567445744109e-02 -1.5216335691811745e+01
1.9861250342500000e+14 6.7767622581502342e-03 -1.6962286518928053e+01
1.9923707104583331e+14 4.1085965973628744e-03 -1.8004726556020888e+01
1.9986163866666666e+14 3.5087662352031581e-03 -2.0571188000364977e+01
("port upper 1","mode 1",1,"port upper 2",1,"transmission",0.0000000000000000e+00)
(23, 3)
1.8737028624999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8799485387083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8861942149166662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8924398911249997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8986855673333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9049312435416662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9111769197499997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9174225959583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9236682721666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9299139483749997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9359660086208747e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9361596245833331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9363532405457916e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9424053007916666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9486509769999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9548966532083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9611423294166666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9673880056250000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9736336818333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9798793580416666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9861250342500000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9923707104583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9986163866666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
("port upper 1","mode 1",1,"port lower 2",1,"transmission",0.0000000000000000e+00)
(23, 3)
1.8737028624999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8799485387083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8861942149166662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8924398911249997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8986855673333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9049312435416662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9111769197499997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9174225959583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9236682721666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9299139483749997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9359660086208747e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9361596245833331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9363532405457916e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9424053007916666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9486509769999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9548966532083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9611423294166666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9673880056250000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9736336818333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9798793580416666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9861250342500000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9923707104583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9986163866666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
("port upper 1","mode 1",1,"port lower 1",1,"transmission",0.0000000000000000e+00)
(23, 3)
1.8737028624999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8799485387083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8861942149166662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8924398911249997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8986855673333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9049312435416662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9111769197499997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9174225959583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9236682721666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9299139483749997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9359660086208747e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9361596245833331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9363532405457916e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9424053007916666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9486509769999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9548966532083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9611423294166666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9673880056250000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9736336818333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9798793580416666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9861250342500000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9923707104583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9986163866666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
("port upper 2","mode 1",1,"port upper 1",1,"transmission",6.1059697681599457e-13)
(23, 3)
1.8737028624999997e+14 5.6442338369540812e-01 1.8761196086520462e+00
1.8799485387083331e+14 5.8165216222449723e-01 1.8890614999168953e+00
1.8861942149166662e+14 5.9826036429723539e-01 1.9002756115782251e+00
1.8924398911249997e+14 6.1426186953535455e-01 1.9098483762885980e+00
1.8986855673333331e+14 6.2969542410414425e-01 1.9179944131057938e+00
1.9049312435416662e+14 6.4453302651889410e-01 1.9248467644401286e+00
1.9111769197499997e+14 6.5877040926984920e-01 1.9304016581972459e+00
1.9174225959583331e+14 6.7239719079287641e-01 1.9346652183447710e+00
1.9236682721666666e+14 6.8549076385941043e-01 1.9376475417688224e+00
1.9299139483749997e+14 6.9811750321826349e-01 1.9392986708953142e+00
1.9359660086208747e+14 7.0998016197973091e-01 1.9398294046221536e+00
1.9361596245833331e+14 7.1035346167023394e-01 1.9398298725764793e+00
1.9363532405457916e+14 7.1072638903611340e-01 1.9398294046221536e+00
1.9424053007916666e+14 7.2215629839573270e-01 1.9393615694386266e+00
1.9486509769999997e+14 7.3341941529437860e-01 1.9378487040482866e+00
