["port lower 1","LEFT"]
["port lower 2","RIGHT"]
["port upper 1","LEFT"]
["port upper 2","RIGHT"]
("port lower 2","mode 1",1,"port lower 2",1,"transmission")
(23, 3)
1.8737028624999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8799485387083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8861942149166662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8924398911249997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8986855673333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9049312435416662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9111769197499997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9174225959583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9236682721666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9299139483749997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9359660086208747e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9361596245833331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9363532405457916e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9424053007916666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9486509769999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9548966532083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9611423294166666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9673880056250000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9736336818333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9798793580416666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9861250342500000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9923707104583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9986163866666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
("port lower 2","mode 1",1,"port upper 2",1,"transmission")
(23, 3)
1.8737028624999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8799485387083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8861942149166662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8924398911249997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8986855673333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9049312435416662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9111769197499997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9174225959583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9236682721666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9299139483749997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9359660086208747e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9361596245833331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9363532405457916e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9424053007916666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9486509769999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9548966532083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9611423294166666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9673880056250000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9736336818333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9798793580416666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9861250342500000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9923707104583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9986163866666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
("port lower 2","mode 1",1,"port lower 1",1,"transmission")
(23, 3)
1.8737028624999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8799485387083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8861942149166662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8924398911249997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8986855673333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9049312435416662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9111769197499997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9174225959583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9236682721666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9299139483749997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9359660086208747e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9361596245833331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9363532405457916e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9424053007916666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9486509769999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9548966532083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9611423294166666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9673880056250000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9736336818333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9798793580416666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9861250342500000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9923707104583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9986163866666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
("port lower 2","mode 1",1,"port upper 1",1,"transmission")
(23, 3)
1.8737028624999997e+14 8.3520759823710267e-01 3.1927174749307319e-01
1.8799485387083331e+14 8.2891654152097916e-01 1.8958742017730650e+00
1.8861942149166662e+14 8.2053918628964562e-01 3.4871011128168012e+00
1.8924398911249997e+14 8.1002049188310588e-01 5.0928436326815749e+00
1.8986855673333331e+14 7.9724460720889745e-01 6.7130643665683065e+00
1.9049312435416662e+14 7.8225258570860889e-01 8.3475743032360405e+00
1.9111769197499997e+14 7.6510168237924292e-01 9.9965621281522736e+00
1.9174225959583331e+14 7.4574102619812355e-01 1.1659911847636897e+01
1.9236682721666666e+14 7.2433910633822829e-01 1.3337586597256109e+01
1.9299139483749997e+14 7.0082084818517987e-01 1.5029315480767757e+01
1.9359660086208747e+14 6.7615854346003057e-01 1.6681658092585781e+01
1.9361596245833331e+14 6.7533859393346485e-01 1.6734732047622252e+01
1.9363532405457916e+14 6.7451661692304021e-01 1.6787819138171638e+01
1.9424053007916666e+14 6.4778073801067426e-01 1.8453760643309472e+01
1.9486509769999997e+14 6.1814929624726567e-01 2.0186160677690804e+01
1.9548966532083331e+14 5.8649330098213559e-01 2.1932011460713127e+01
1.9611423294166666e+14 5.5293439771511155e-01 2.3691088680529447e+01
1.9673880056250000e+14 5.1765673746738705e-01 2.5463287856349016e+01
1.9736336818333331e+14 4.8069423411434636e-01 2.7248345526367849e+01
1.9798793580416666e+14 4.4213209131958786e-01 2.9046097791807728e+01
1.9861250342500000e+14 4.0210231252204048e-01 3.0856486423102410e+01
1.9923707104583331e+14 3.6084168869040184e-01 3.2679500502991885e+01
1.9986163866666666e+14 3.1856625735136995e-01 3.4514841875997035e+01
("port upper 2","mode 1",1,"port lower 2",1,"transmission")
(23, 3)
1.8737028624999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8799485387083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8861942149166662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8924398911249997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8986855673333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9049312435416662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9111769197499997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9174225959583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9236682721666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9299139483749997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9359660086208747e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9361596245833331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9363532405457916e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9424053007916666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9486509769999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9548966532083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9611423294166666e+14 0.0000000000000000e+00 0.0000000000000000e+00
