

lambda(nm), Y
1600, -0.999263
1594.68, -0.999309
1589.4, -0.99933
1584.16, -0.999367
1578.95, -0.999414
1573.77, -0.999441
1568.63, -0.999455
1563.52, -0.999399
1558.44, -0.999315
1553.4, -0.99912
1548.39, -0.999188
1543.41, -0.999159
1538.46, -0.99911
1533.55, -0.999229
1528.66, -0.999057
1523.81, -0.999172
1518.99, -0.999032
1514.2, -0.998986
1509.43, -0.998903
1504.7, -0.998894
1500, -0.998824




lambda(nm), Y
1600, 0.217401
1594.68, 0.236112
1589.4, 0.255109
1584.16, 0.27428
1578.95, 0.293525
1573.77, 0.312827
1568.63, 0.332092
1563.52, 0.351175
1558.44, 0.370065
1553.4, 0.38881
1548.39, 0.407396
1543.41, 0.425776
1538.46, 0.443817
1533.55, 0.461408
1528.66, 0.478631
1523.81, 0.495525
1518.99, 0.511931
1514.2, 0.527853
1509.43, 0.543486
1504.7, 0.558856
1500, 0.573816




lambda(nm), Y
1600, 0.77673
1594.68, 0.758361
1589.4, 0.739654
1584.16, 0.720704
1578.95, 0.701655
1573.77, 0.68259
1568.63, 0.663521
1563.52, 0.644451
1558.44, 0.625431
1553.4, 0.606633
1548.39, 0.5882
1543.41, 0.570045
1538.46, 0.552114
1533.55, 0.534491
1528.66, 0.517196
1523.81, 0.500284
1518.99, 0.483755
1514.2, 0.467496
1509.43, 0.451666
1504.7, 0.436373
1500, 0.421416




lambda(nm), Y
1600, -1.28959e-05
1594.68, -1.10284e-05
1589.4, -1.9832e-05
1584.16, -2.5875e-05
1578.95, -3.10394e-05
1573.77, -1.7876e-05
1568.63, -3.23486e-06
1563.52, -1.06242e-05
1558.44, -5.37715e-05
1553.4, -8.15041e-05
1548.39, -7.80683e-05
1543.41, -5.33445e-05
1538.46, -2.83292e-05
1533.55, -5.50369e-05
1528.66, -7.96382e-05
1523.81, -5.38906e-05
1518.99, -3.00914e-05
1514.2, -3.72606e-05
1509.43, -6.65167e-05
1504.7, -4.94258e-05
1500, -1.70892e-05


