

lambda(nm), Y
1600, 0.968556
1594.68, 0.968051
1589.4, 0.967452
1584.16, 0.966769
1578.95, 0.965945
1573.77, 0.965125
1568.63, 0.964327
1563.52, 0.963366
1558.44, 0.962395
1553.4, 0.961414
1548.39, 0.96034
1543.41, 0.959218
1538.46, 0.958061
1533.55, 0.956847
1528.66, 0.955693
1523.81, 0.954427
1518.99, 0.953177
1514.2, 0.951896
1509.43, 0.950628
1504.7, 0.949386
1500, 0.948076




lambda(nm), Y
1600, 0.187941
1594.68, 0.207707
1589.4, 0.229781
1584.16, 0.254139
1578.95, 0.280733
1573.77, 0.309496
1568.63, 0.340321
1563.52, 0.373032
1558.44, 0.407384
1553.4, 0.443104
1548.39, 0.479958
1543.41, 0.517756
1538.46, 0.556284
1533.55, 0.595216
1528.66, 0.634064
1523.81, 0.672223
1518.99, 0.709065
1514.2, 0.744059
1509.43, 0.776827
1504.7, 0.80712
1500, 0.834695




lambda(nm), Y
1600, 0.678348
1594.68, 0.667286
1589.4, 0.653091
1584.16, 0.635774
1578.95, 0.61537
1573.77, 0.591963
1568.63, 0.565736
1563.52, 0.537001
1558.44, 0.506153
1553.4, 0.473558
1548.39, 0.439492
1543.41, 0.404173
1538.46, 0.36788
1533.55, 0.331033
1528.66, 0.294157
1523.81, 0.25776
1518.99, 0.222257
1514.2, 0.188024
1509.43, 0.1555
1504.7, 0.125196
1500, 0.0975809




lambda(nm), Y
1600, 0.000156217
1594.68, 0.00013889
1589.4, 0.000119557
1584.16, 9.60136e-05
1578.95, 7.45846e-05
1573.77, 6.71629e-05
1568.63, 6.26777e-05
1563.52, 4.70061e-05
1558.44, 4.03482e-05
1553.4, 4.07654e-05
1548.39, 3.66998e-05
1543.41, 3.1366e-05
1538.46, 2.64953e-05
1533.55, 2.14783e-05
1528.66, 1.65071e-05
1523.81, 1.46933e-05
1518.99, 1.18179e-05
1514.2, 6.40695e-06
1509.43, 3.71131e-06
1504.7, 1.42137e-06
1500, 2.33663e-06


