["port lower 1","LEFT"]
["port lower 2","RIGHT"]
["port upper 1","LEFT"]
["port upper 2","RIGHT"]
("port upper 1","mode 1",1,"port upper 1",1,"transmission")
(21, 3)
1.8737028624999997e+14 2.3339646279211770e-02 -3.0872388783629447e+00
1.8799485387083331e+14 2.0948398029091157e-02 -3.0414227292768561e+00
1.8861942149166662e+14 1.9743359853759069e-02 -3.2389459532300702e+00
1.8924398911249997e+14 2.1639475877007111e-02 -3.4869993115179878e+00
1.8986855673333331e+14 2.4058617160696297e-02 -3.4897703872234307e+00
1.9049312435416662e+14 2.3070141195978878e-02 -3.2954556256695633e+00
1.9111769197499997e+14 1.8502755225717000e-02 -3.0555005481839950e+00
1.9174225959583331e+14 1.2771673200341362e-02 -3.0012266922346162e+00
1.9236682721666666e+14 1.0323894316237928e-02 -3.3442435732917088e+00
1.9299139483749997e+14 1.1629865477663318e-02 -3.5349133514412960e+00
1.9361596245833331e+14 1.1305644458536488e-02 -3.4670093216155822e+00
1.9424053007916666e+14 9.1926755560364209e-03 -3.5601841406233028e+00
1.9486509769999997e+14 9.0328631157366359e-03 -3.9905100736474872e+00
1.9548966532083331e+14 9.6952075158799177e-03 -4.1808990078278558e+00
1.9611423294166666e+14 6.6555068653807560e-03 -4.1488380380466445e+00
1.9673880056250000e+14 3.5898823247715434e-03 -4.4647839964697029e+00
1.9736336818333331e+14 7.0809229840512076e-03 -4.8086883117848052e+00
1.9798793580416666e+14 1.2932917957320577e-02 -4.6920949227069482e+00
1.9861250342500000e+14 1.4739721533515862e-02 -4.6946608441897322e+00
1.9923707104583331e+14 1.3780929145345688e-02 -4.9367159470566762e+00
1.9986163866666666e+14 1.5058452681730323e-02 -5.0676485951129617e+00
("port upper 1","mode 1",1,"port upper 2",1,"transmission")
(21, 3)
1.8737028624999997e+14 6.7323221954628321e-01 -2.1189708731911976e+00
1.8799485387083331e+14 6.2859992799127007e-01 8.4684595587721567e-01
1.8861942149166662e+14 5.7794725747094333e-01 3.8504895631627454e+00
1.8924398911249997e+14 5.2218939448871404e-01 6.8964347860016710e+00
1.8986855673333331e+14 4.6290651610287170e-01 9.9914048169205127e+00
1.9049312435416662e+14 4.0262711371610016e-01 6.8630050650663863e+00
1.9111769197499997e+14 3.4556156958120959e-01 3.8113973305479014e+00
1.9174225959583331e+14 2.9890437373357004e-01 8.5800953250464074e-01
1.9236682721666666e+14 2.7350904831981060e-01 -1.9899532527697827e+00
1.9299139483749997e+14 2.7964540812415040e-01 -4.7771773213482849e+00
1.9361596245833331e+14 3.1786146232979989e-01 -7.5836505058066637e+00
1.9424053007916666e+14 3.7897286540750030e-01 -1.0445983255209070e+01
1.9486509769999997e+14 4.5288008781231892e-01 -1.3352737311132213e+01
1.9548966532083331e+14 5.3246198658641675e-01 -1.6282779066430205e+01
1.9611423294166666e+14 6.1282039698914492e-01 -1.9220223438048464e+01
1.9673880056250000e+14 6.9037095786749736e-01 -2.2154683272507565e+01
1.9736336818333331e+14 7.6244291265999020e-01 -2.5079703690102132e+01
1.9798793580416666e+14 8.2680761785688617e-01 -2.7991354962972920e+01
1.9861250342500000e+14 8.8155257470152359e-01 -3.0887041433828390e+01
1.9923707104583331e+14 9.2518772274804595e-01 -3.3765080892992110e+01
1.9986163866666666e+14 9.5652229064139616e-01 -3.6624503595400206e+01
("port upper 1","mode 1",1,"port lower 2",1,"transmission")
(21, 3)
1.8737028624999997e+14 6.4678910468978290e-01 -1.4439916951606746e+00
1.8799485387083331e+14 6.9902165884450096e-01 1.2151678494905309e+00
1.8861942149166662e+14 7.4866572823763733e-01 3.8988801254620058e+00
1.8924398911249997e+14 7.9464952324527283e-01 6.6070078598507358e+00
1.8986855673333331e+14 8.3590752843090221e-01 9.3391030846037708e+00
1.9049312435416662e+14 8.7093714507564612e-01 1.2094902650370445e+01
1.9111769197499997e+14 8.9858789315054199e-01 1.4874679790362702e+01
1.9174225959583331e+14 9.1819115550883845e-01 1.7678205745876664e+01
1.9236682721666666e+14 9.2876265893841536e-01 2.0504947498601336e+01
1.9299139483749997e+14 9.2925276526908374e-01 2.3354665526999398e+01
1.9361596245833331e+14 9.1883768883890204e-01 2.6227165798896042e+01
1.9424053007916666e+14 8.9692958106231502e-01 2.9122313502982703e+01
1.9486509769999997e+14 8.6335657611021199e-01 3.2039905206199563e+01
1.9548966532083331e+14 8.1804805722336871e-01 3.4979458812440917e+01
1.9611423294166666e+14 7.6091549768481370e-01 3.7940642263587137e+01
1.9673880056250000e+14 6.9230240542933053e-01 4.0923354891146850e+01
1.9736336818333331e+14 6.1297911505936431e-01 4.3927297984559083e+01
1.9798793580416666e+14 5.2383244014341201e-01 4.6952030334761545e+01
1.9861250342500000e+14 4.2595645945841176e-01 4.9997237678648474e+01
1.9923707104583331e+14 3.2071434936360482e-01 5.3062509083340693e+01
1.9986163866666666e+14 2.0964413353269476e-01 5.6147186631731735e+01
("port upper 1","mode 1",1,"port lower 1",1,"transmission")
(21, 3)
1.8737028624999997e+14 1.2915786651082741e-03 7.6463529592855928e-01
1.8799485387083331e+14 1.2340602817278098e-03 -5.8366812543610765e-02
1.8861942149166662e+14 1.3832475652460589e-03 -2.6034836383026709e+00
1.8924398911249997e+14 1.8388225461271680e-03 -3.4403208152603262e+00
1.8986855673333331e+14 4.8972961301441673e-04 -5.9840724530883040e+00
1.9049312435416662e+14 1.6549605233133835e-03 -6.9627210863080427e+00
1.9111769197499997e+14 7.2345637628181065e-04 -6.8211390108451013e+00
1.9174225959583331e+14 6.7866585866332356e-04 -4.3445556062576944e+00
1.9236682721666666e+14 1.3754482475910423e-03 -3.8965393864944757e+00
1.9299139483749997e+14 5.0324392267734100e-04 -4.2295144407025749e+00
1.9361596245833331e+14 1.5289409301079289e-03 -7.1280807969572137e+00
1.9424053007916666e+14 1.3871295765025976e-03 -7.6038637937999392e+00
1.9486509769999997e+14 1.2334692493148191e-03 -1.0510160376766251e+01
1.9548966532083331e+14 2.2057782640255452e-03 -1.1069150426524832e+01
1.9611423294166666e+14 4.0057170759768949e-04 -1.2857757271821836e+01
1.9673880056250000e+14 2.0066655781238053e-03 -1.4583268018001453e+01
1.9736336818333331e+14 9.1767647948874165e-04 -1.5340719698641291e+01
1.9798793580416666e+14 1.5329553436712127e-03 -1.7816199228192403e+01
1.9861250342500000e+14 1.1847536739561374e-03 -1.8226793747160205e+01
1.9923707104583331e+14 1.0001934965936387e-03 -1.5130450609598851e+01
1.9986163866666666e+14 1.6418238654009652e-03 -1.5330184502095122e+01
("port upper 2","mode 1",1,"port upper 1",1,"transmission")
(21, 3)
1.8737028624999997e+14 6.7323230219360575e-01 -2.1189706301271594e+00
1.8799485387083331e+14 6.2859990219916528e-01 8.4684631629867435e-01
1.8861942149166662e+14 5.7794714835143124e-01 3.8504897820348614e+00
1.8924398911249997e+14 5.2218930458824342e-01 6.8964348563167803e+00
1.8986855673333331e+14 4.6290644707912659e-01 9.9914048094862604e+00
1.9049312435416662e+14 4.0262706683582683e-01 6.8630050411193322e+00
1.9111769197499997e+14 3.4556147938614795e-01 3.8113972692385989e+00
1.9174225959583331e+14 2.9890429760756299e-01 8.5800939691225442e-01
1.9236682721666666e+14 2.7350901191911137e-01 -1.9899533630730395e+00
1.9299139483749997e+14 2.7964537812468937e-01 -4.7771773630021315e+00
1.9361596245833331e+14 3.1786142109335669e-01 -7.5836504816144110e+00
1.9424053007916666e+14 3.7897280107446091e-01 -1.0445983278382000e+01
1.9486509769999997e+14 4.5288002944561362e-01 -1.3352737440797769e+01
1.9548966532083331e+14 5.3246210293430241e-01 -1.6282779236239140e+01
1.9611423294166666e+14 6.1282047690568697e-01 -1.9220223491817698e+01
1.9673880056250000e+14 6.9037105053534675e-01 -2.2154683343050493e+01
1.9736336818333331e+14 7.6244300578022717e-01 -2.5079703706751811e+01
1.9798793580416666e+14 8.2680766862675981e-01 -2.7991354952281164e+01
1.9861250342500000e+14 8.8155261637788995e-01 -3.0887041459173311e+01
1.9923707104583331e+14 9.2518774064874065e-01 -3.3765080949802716e+01
1.9986163866666666e+14 9.5652234461687913e-01 -3.6624503715680603e+01
("port upper 2","mode 1",1,"port upper 2",1,"transmission")
(21, 3)
1.8737028624999997e+14 2.3339534253012318e-02 -3.0872464381072451e+00
