["port lower 1","LEFT"]
["port lower 2","RIGHT"]
["port upper 1","LEFT"]
["port upper 2","RIGHT"]
("port upper 1","mode 1",1,"port upper 1",1,"transmission")
(21, 3)
1.8737028624999997e+14 2.2967486925750503e-02 3.0457402395179178e+00
1.8799485387083331e+14 1.6768882092201266e-02 3.1343109083518472e+00
1.8861942149166662e+14 1.5051087463821734e-02 3.1765991342907238e+00
1.8924398911249997e+14 2.0024818321100445e-02 3.0289565987287772e+00
1.8986855673333331e+14 2.6647189313405258e-02 2.9403453515621969e+00
1.9049312435416662e+14 2.6866209565419297e-02 2.9782120495641777e+00
1.9111769197499997e+14 2.0013152731129615e-02 3.0901744924990453e+00
1.9174225959583331e+14 1.2202617677876105e-02 3.1036247816943527e+00
1.9236682721666666e+14 9.3732790392249809e-03 2.8022346012333954e+00
1.9299139483749997e+14 1.0596528068378047e-02 2.6898646121636478e+00
1.9361596245833331e+14 1.0190274077840563e-02 2.7971562475090237e+00
1.9424053007916666e+14 7.8062989581095185e-03 2.7458958200641495e+00
1.9486509769999997e+14 7.4150325598753156e-03 2.3820525241187740e+00
1.9548966532083331e+14 8.7706278452050444e-03 2.3056076493613404e+00
1.9611423294166666e+14 7.6806619282845916e-03 2.3967853879756591e+00
1.9673880056250000e+14 5.4205427209936315e-03 2.0090380487171111e+00
1.9736336818333331e+14 8.9264485236859835e-03 1.4576627880832314e+00
1.9798793580416666e+14 1.3597486971811278e-02 1.5005062680429413e+00
1.9861250342500000e+14 1.4264939151935763e-02 1.5484877297992869e+00
1.9923707104583331e+14 1.3357172927835689e-02 1.3649553740126708e+00
1.9986163866666666e+14 1.5290540207702119e-02 1.2395250613666389e+00
("port upper 1","mode 1",1,"port upper 2",1,"transmission")
(21, 3)
1.8737028624999997e+14 9.2431431641052986e-01 1.3922774552312982e+00
1.8799485387083331e+14 9.2342350608300594e-01 4.4470707400846097e+00
1.8861942149166662e+14 9.1488969715573432e-01 7.5311169945415033e+00
1.8924398911249997e+14 8.9796124797108057e-01 1.0644600852437993e+01
1.8986855673333331e+14 8.7198330244348254e-01 7.5045990666335349e+00
1.9049312435416662e+14 8.3654856477851747e-01 4.3948909441618493e+00
1.9111769197499997e+14 7.9149439612278261e-01 1.3166156758392049e+00
1.9174225959583331e+14 7.3691818585490509e-01 -1.7285075744618539e+00
1.9236682721666666e+14 6.7329993817383704e-01 -4.7380106136302453e+00
1.9299139483749997e+14 6.0158711991564995e-01 -7.7080244327425298e+00
1.9361596245833331e+14 5.2331888442840646e-01 -1.0631610115357926e+01
1.9424053007916666e+14 4.4119710641105192e-01 -1.3495652208006170e+01
1.9486509769999997e+14 3.6037306704666339e-01 -1.6275952578665141e+01
1.9548966532083331e+14 2.9073708935513309e-01 -1.8931987089460321e+01
1.9611423294166666e+14 2.5023477521421439e-01 -2.1428013129523762e+01
1.9673880056250000e+14 2.5852266540537244e-01 -2.3836084225614997e+01
1.9736336818333331e+14 3.1331099578012728e-01 -2.6315301344047842e+01
1.9798793580416666e+14 3.9465226017632549e-01 -2.8901851761203854e+01
1.9861250342500000e+14 4.8660973770049842e-01 -3.1552876721711126e+01
1.9923707104583331e+14 5.8002883523984872e-01 -3.4231714899813284e+01
1.9986163866666666e+14 6.6950478958469306e-01 -3.6917564292145968e+01
("port upper 1","mode 1",1,"port lower 2",1,"transmission")
(21, 3)
1.8737028624999997e+14 5.5668339589800081e-02 2.3835027175599106e+00
1.8799485387083331e+14 1.3274191027327883e-01 5.1467742471522779e+00
1.8861942149166662e+14 2.1292773017594607e-01 7.9391803741664493e+00
1.8924398911249997e+14 2.9509475028252541e-01 1.0757870262287859e+01
1.8986855673333331e+14 3.7810282599949752e-01 1.3602478067504340e+01
1.9049312435416662e+14 4.6086669175993178e-01 1.6472527623517575e+01
1.9111769197499997e+14 5.4211300088215508e-01 1.9367215333772652e+01
1.9174225959583331e+14 6.2018805379802033e-01 2.2286072238559022e+01
1.9236682721666666e+14 6.9336793779570660e-01 2.5229136876654582e+01
1.9299139483749997e+14 7.6012105020285170e-01 2.8196411406915082e+01
1.9361596245833331e+14 8.1900848315622865e-01 3.1187558668261470e+01
1.9424053007916666e+14 8.6850009278109552e-01 3.4202084070432697e+01
1.9486509769999997e+14 9.0700403146702702e-01 3.7239676893989653e+01
1.9548966532083331e+14 9.3317357707767046e-01 4.0300230295874400e+01
1.9611423294166666e+14 9.4603045439665767e-01 4.3383513822635010e+01
1.9673880056250000e+14 9.4473996480724187e-01 4.6489090427310330e+01
1.9736336818333331e+14 9.2863205503712720e-01 4.9616623912459723e+01
1.9798793580416666e+14 8.9743018109749373e-01 4.6482693426226497e+01
1.9861250342500000e+14 8.5122374112180932e-01 4.3370197684942760e+01
1.9923707104583331e+14 7.9043609295527395e-01 4.0278798499604356e+01
1.9986163866666666e+14 7.1581544809852649e-01 3.7208074301709566e+01
("port upper 1","mode 1",1,"port lower 1",1,"transmission")
(21, 3)
1.8737028624999997e+14 9.4391679920932605e-04 -8.7835182360993369e-01
1.8799485387083331e+14 8.5525322811039455e-04 -3.9055485191010950e+00
1.8861942149166662e+14 1.1446177605122271e-03 -4.5179375643269619e+00
1.8924398911249997e+14 6.1984979126498052e-04 -1.7799338642082241e+00
1.8986855673333331e+14 1.3633808275296797e-03 -2.0939213377784571e+00
1.9049312435416662e+14 2.8870840876821539e-04 -1.6956028497377096e-01
1.9111769197499997e+14 1.3762993688598507e-03 2.6089467558394236e-01
1.9174225959583331e+14 3.8217844043895175e-04 7.8955450711178288e-01
1.9236682721666666e+14 1.1506611607330606e-03 2.6336289677013776e+00
1.9299139483749997e+14 5.5256926142289715e-04 2.9314884050370487e+00
1.9361596245833331e+14 9.6471417974464916e-04 5.1523061572120099e+00
1.9424053007916666e+14 7.8940086620185406e-04 5.5614330326297257e+00
1.9486509769999997e+14 9.5025793281063422e-04 7.4217227715728935e+00
1.9548966532083331e+14 1.1262772947842801e-03 7.8928343536553482e+00
1.9611423294166666e+14 7.3538206242782487e-04 9.3591454986446685e+00
1.9673880056250000e+14 1.0215723899051345e-03 1.0170610530274223e+01
1.9736336818333331e+14 4.4478790946109073e-04 1.1551380530812345e+01
1.9798793580416666e+14 8.5360117409447901e-04 1.2903689541555725e+01
1.9861250342500000e+14 6.0012068940419789e-04 1.4138558969838719e+01
1.9923707104583331e+14 1.0480841595659211e-03 1.5393121338048999e+01
1.9986163866666666e+14 8.4058197493655485e-04 1.6184665698926395e+01
("port upper 2","mode 1",1,"port upper 1",1,"transmission")
(21, 3)
1.8737028624999997e+14 9.2431441070319953e-01 1.3922777015664876e+00
1.8799485387083331e+14 9.2342344878243543e-01 4.4470709300953066e+00
1.8861942149166662e+14 9.1488956676570554e-01 7.5311169630783450e+00
1.8924398911249997e+14 8.9796128960919919e-01 1.0644600713174787e+01
1.8986855673333331e+14 8.7198345190589099e-01 7.5045990017383577e+00
1.9049312435416662e+14 8.3654875037132204e-01 4.3948910911961381e+00
1.9111769197499997e+14 7.9149427066216893e-01 1.3166158877443463e+00
1.9174225959583331e+14 7.3691803943783296e-01 -1.7285076120352465e+00
1.9236682721666666e+14 6.7329986861213686e-01 -4.7380107573650925e+00
1.9299139483749997e+14 6.0158709009810318e-01 -7.7080245642312830e+00
1.9361596245833331e+14 5.2331882357836601e-01 -1.0631610300419879e+01
1.9424053007916666e+14 4.4119704527637044e-01 -1.3495652573071242e+01
1.9486509769999997e+14 3.6037302680092875e-01 -1.6275953101704861e+01
1.9548966532083331e+14 2.9073713462800915e-01 -1.8931987425026751e+01
1.9611423294166666e+14 2.5023469667946480e-01 -2.1428013067268544e+01
1.9673880056250000e+14 2.5852260326031351e-01 -2.3836083735188144e+01
1.9736336818333331e+14 3.1331097942010472e-01 -2.6315300836224203e+01
1.9798793580416666e+14 3.9465225322165004e-01 -2.8901851492358603e+01
1.9861250342500000e+14 4.8660968015901462e-01 -3.1552876724047724e+01
1.9923707104583331e+14 5.8002874116552083e-01 -3.4231715094548917e+01
1.9986163866666666e+14 6.6950466365344030e-01 -3.6917564556179727e+01
("port upper 2","mode 1",1,"port upper 2",1,"transmission")
(21, 3)
1.8737028624999997e+14 2.2967605545149476e-02 3.0457279555944630e+00
1.8799485387083331e+14 1.6768970860336390e-02 3.1342914110467603e+00
