["port 3","RIGHT"]
["port 2","LEFT"]
["port 1","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9034441777777778e+14 7.2863410703750096e-03 2.3287802057088278e+00
1.9069490130565788e+14 8.9454995650783495e-03 1.1417201438042970e+00
1.9104667791380178e+14 1.5283159141769806e-03 -7.7417377146520883e-01
1.9139975477150541e+14 1.8296281055326504e-03 -1.1938486838247349e+00
1.9175413910116141e+14 1.5657186956598540e-03 -4.1968882286555607e+00
1.9210983817875212e+14 2.3593317927927539e-03 -6.4193967386583903e+00
1.9246685933434703e+14 1.8034432401512709e-03 -3.8875370392329947e+00
1.9282520995260666e+14 3.8066122829731974e-03 -5.0216753858593437e+00
1.9318489747329153e+14 5.4176105114669536e-03 -6.2348183999418509e+00
1.9354592939177712e+14 4.1171859663988990e-03 -7.3128945510948391e+00
1.9390831325957447e+14 4.3015709700680157e-03 -8.4374855500002113e+00
1.9427205668485675e+14 4.1665550124945147e-03 -9.7985817526862817e+00
1.9463716733299162e+14 5.2091100011380127e-03 -1.1252817982818952e+01
1.9500365292707978e+14 8.9383026429559614e-03 -1.3006109282764676e+01
1.9537152124849941e+14 9.0647539831643417e-03 -1.4561969896182266e+01
1.9574078013745706e+14 7.9787071137017058e-03 -1.5489493164204438e+01
1.9611143749354450e+14 8.7977772508086704e-03 -1.6401655049244610e+01
1.9648350127630219e+14 1.0991319299621343e-02 -1.8087007052249060e+01
1.9685697950578884e+14 1.1007512814098789e-02 -1.9009544224003147e+01
1.9723188026315791e+14 1.4772356820531898e-02 -2.0001277611526810e+01
("port 1","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.9034441777777778e+14 8.0177330224815678e-03 2.4521881253236728e+00
1.9069490130565788e+14 8.6788207259161469e-03 1.1468845177460734e+00
1.9104667791380178e+14 2.2459444894738952e-03 3.8177092134187922e+00
1.9139975477150541e+14 1.9387671399458530e-03 3.0017271211359557e+00
1.9175413910116141e+14 4.2591947745968259e-03 1.7992279768666566e+00
1.9210983817875212e+14 3.7652115040788547e-03 2.0587577773978138e-01
1.9246685933434703e+14 2.7023467327324895e-04 7.5811268219649230e-01
1.9282520995260666e+14 2.8279516745758474e-03 1.4384340407914784e+00
1.9318489747329153e+14 5.0796787063292371e-03 1.5452678415678889e-01
1.9354592939177712e+14 4.2022301538198982e-03 -9.5932674976658416e-01
1.9390831325957447e+14 3.7586457043934291e-03 -2.2790877308691613e+00
1.9427205668485675e+14 3.3539476143850302e-03 -3.8474119714999562e+00
1.9463716733299162e+14 4.9300660497567433e-03 -5.3474736174129411e+00
1.9500365292707978e+14 9.2463348835184651e-03 -7.2829824005601660e+00
1.9537152124849941e+14 6.3035229386954536e-03 -8.9244050818517060e+00
1.9574078013745706e+14 8.1409397418219769e-03 -9.9694008915404382e+00
1.9611143749354450e+14 6.4110384544312869e-03 -1.0922895375971319e+01
1.9648350127630219e+14 1.3674363859113262e-02 -1.2272905037715841e+01
1.9685697950578884e+14 1.1901172665232808e-02 -1.3628338089820716e+01
1.9723188026315791e+14 8.5513125761881564e-03 -1.4230086868515281e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.9034441777777778e+14 6.4784190681503862e-01 1.3940788470806853e+00
1.9069490130565788e+14 6.5187388240433419e-01 4.1584171675201382e+00
1.9104667791380178e+14 6.5141373843727191e-01 6.9259217456079094e+00
1.9139975477150541e+14 6.5747899601023274e-01 9.7339886452954669e+00
1.9175413910116141e+14 6.6558791437814468e-01 1.2532361608020510e+01
1.9210983817875212e+14 6.7091918497005221e-01 1.5342754616061571e+01
1.9246685933434703e+14 6.7367838017726300e-01 1.8169131566675258e+01
1.9282520995260666e+14 6.8011944270089852e-01 2.1003192027501960e+01
1.9318489747329153e+14 6.8140170884208229e-01 2.3849268724582259e+01
1.9354592939177712e+14 6.8483015630481969e-01 2.6709243764662585e+01
1.9390831325957447e+14 6.8471211151421707e-01 2.9577823652456033e+01
1.9427205668485675e+14 6.8654132726774220e-01 3.2464686785754893e+01
1.9463716733299162e+14 6.9184470220034555e-01 3.5356982468438858e+01
1.9500365292707978e+14 6.8849303027201247e-01 3.8253183599214438e+01
1.9537152124849941e+14 6.8963874596648433e-01 4.1180656978428360e+01
1.9574078013745706e+14 6.9191127238035444e-01 4.4099575949682418e+01
1.9611143749354450e+14 6.9109784874882563e-01 4.6977861361949167e+01
1.9648350127630219e+14 6.8040340527328713e-01 4.9874927148573278e+01
1.9685697950578884e+14 6.8524113202432779e-01 5.2784372745554322e+01
1.9723188026315791e+14 6.8987832229275869e-01 5.5690992203273936e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.9034441777777778e+14 6.4697844601796606e-01 2.9472091412978401e+00
1.9069490130565788e+14 6.5255513612721516e-01 5.7216630038263929e+00
1.9104667791380178e+14 6.5115653214744362e-01 8.5078345751878590e+00
1.9139975477150541e+14 6.6796511574033068e-01 1.1300027001559350e+01
1.9175413910116141e+14 6.7173547835896763e-01 1.4100041877378427e+01
1.9210983817875212e+14 6.7567531958626859e-01 1.6915939582078401e+01
1.9246685933434703e+14 6.8099110680677954e-01 1.9742923171620653e+01
1.9282520995260666e+14 6.8328203330835358e-01 2.2577316680671782e+01
1.9318489747329153e+14 6.8517725048498868e-01 2.5429491534905157e+01
1.9354592939177712e+14 6.8874927975959621e-01 2.8288805756906175e+01
1.9390831325957447e+14 6.8969006217479423e-01 3.1161602192671403e+01
1.9427205668485675e+14 6.9261068563926131e-01 3.4044307760874673e+01
1.9463716733299162e+14 6.9273630400244401e-01 3.6933392820501638e+01
1.9500365292707978e+14 6.8875937519261132e-01 3.9843739749575036e+01
1.9537152124849941e+14 6.9553952904765104e-01 4.2762456763482682e+01
1.9574078013745706e+14 6.9386324693122958e-01 4.5674127273027416e+01
1.9611143749354450e+14 6.9171911829867061e-01 4.8553398225301294e+01
1.9648350127630219e+14 6.9315591589929226e-01 5.1455697670722785e+01
1.9685697950578884e+14 6.9798204348048809e-01 5.4341182695825843e+01
1.9723188026315791e+14 6.8789634434935576e-01 5.7240306209137358e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9034441777777778e+14 8.0177320708868117e-03 2.4521881594648849e+00
1.9069490130565788e+14 8.6788173103344649e-03 1.1468844523897892e+00
1.9104667791380178e+14 2.2459479375662255e-03 3.8177081387312328e+00
1.9139975477150541e+14 1.9387681547590302e-03 3.0017259292029350e+00
1.9175413910116141e+14 4.2591986421420345e-03 1.7992275209754194e+00
1.9210983817875212e+14 3.7652147739135138e-03 2.0587562371238927e-01
1.9246685933434703e+14 2.7023496582304074e-04 7.5810748769885550e-01
1.9282520995260666e+14 2.8279480965340818e-03 1.4384339583041446e+00
1.9318489747329153e+14 5.0796748318925689e-03 1.5452687986107916e-01
1.9354592939177712e+14 4.2022268143237793e-03 -9.5932645407722705e-01
1.9390831325957447e+14 3.7586437890803435e-03 -2.2790872865081497e+00
1.9427205668485675e+14 3.3539477607163752e-03 -3.8474117680856863e+00
1.9463716733299162e+14 4.9300665784592530e-03 -5.3474733990055059e+00
1.9500365292707978e+14 9.2463385024581027e-03 -7.2829826221068812e+00
1.9537152124849941e+14 6.3035220738012149e-03 -8.9244052033971677e+00
1.9574078013745706e+14 8.1409409142310322e-03 -9.9694008818947033e+00
1.9611143749354450e+14 6.4110412165775659e-03 -1.0922894196733962e+01
1.9648350127630219e+14 1.3674371044043190e-02 -1.2272904798932290e+01
1.9685697950578884e+14 1.1901176739083844e-02 -1.3628337958896319e+01
1.9723188026315791e+14 8.5513150054060110e-03 -1.4230086649240311e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.9034441777777778e+14 7.2863383998269596e-03 2.3287733388106489e+00
1.9069490130565788e+14 8.9454953824892273e-03 1.1417134555622801e+00
1.9104667791380178e+14 1.5283122507010153e-03 -7.7418062621269401e-01
1.9139975477150541e+14 1.8296276382647103e-03 -1.1938588245304311e+00
1.9175413910116141e+14 1.5657188369283142e-03 -4.1968996557158746e+00
1.9210983817875212e+14 2.3593318776819376e-03 -6.4194071283445489e+00
1.9246685933434703e+14 1.8034463946868782e-03 -3.8875447057969659e+00
1.9282520995260666e+14 3.8066109711803998e-03 -5.0216805304275445e+00
1.9318489747329153e+14 5.4176067124745014e-03 -6.2348249209644626e+00
1.9354592939177712e+14 4.1171867106011336e-03 -7.3129013691937619e+00
1.9390831325957447e+14 4.3015700460917704e-03 -8.4374964975295743e+00
1.9427205668485675e+14 4.1665544483486215e-03 -9.7985824557517862e+00
1.9463716733299162e+14 5.2091113430225659e-03 -1.1252820387463208e+01
1.9500365292707978e+14 8.9383056598467923e-03 -1.3006116374472645e+01
1.9537152124849941e+14 9.0647584057222882e-03 -1.4561975766852076e+01
1.9574078013745706e+14 7.9787106504570025e-03 -1.5489500761228562e+01
1.9611143749354450e+14 8.7977826511190325e-03 -1.6401664226808336e+01
