["port 3","RIGHT"]
["port 2","LEFT"]
["port 1","LEFT"]
["port 4","RIGHT"]
("port 1","mode 5",1,"port 1",1,"transmission")
(20, 3)
1.9034441777777778e+14 1.3497579398380386e-03 5.8236900198560537e-01
1.9069490130565788e+14 1.1012361643748549e-03 -6.4368364714017845e-01
1.9104667791380178e+14 1.0234934657897550e-03 -1.6130710339401615e+00
1.9139975477150541e+14 9.0354416331985086e-04 -1.7805327862031819e+00
1.9175413910116141e+14 1.1027142660159802e-03 -2.8730006336446388e+00
1.9210983817875212e+14 9.3557751938619556e-04 -4.8499308400517815e+00
1.9246685933434703e+14 7.5735680643296841e-04 -5.7775563564565973e+00
1.9282520995260666e+14 6.6286429406357686e-04 -6.7489186959585705e+00
1.9318489747329153e+14 5.5743317449582054e-04 -7.5296485719813413e+00
1.9354592939177712e+14 4.7492413250205750e-04 -8.3744483458693999e+00
1.9390831325957447e+14 2.7672684452535973e-04 -9.1892917338253337e+00
1.9427205668485675e+14 2.6294707394738996e-04 -9.2163080433409252e+00
1.9463716733299162e+14 2.4334453591916716e-04 -9.6945495687058134e+00
1.9500365292707978e+14 2.9628002575844741e-04 -9.1761370479141071e+00
1.9537152124849941e+14 5.0963666420122684e-04 -1.0055219052383727e+01
1.9574078013745706e+14 5.6683337195936575e-04 -1.0510527218512884e+01
1.9611143749354450e+14 4.1688766379701048e-04 -1.1824198259677519e+01
1.9648350127630219e+14 3.7000130425268615e-04 -1.2408770076261078e+01
1.9685697950578884e+14 4.0576428133823984e-04 -1.1272358947556848e+01
1.9723188026315791e+14 4.3904578297428696e-04 -1.2586192833030003e+01
("port 1","mode 5",1,"port 2",1,"transmission")
(20, 3)
1.9034441777777778e+14 5.5696307229501519e-04 -2.1329166872220910e+00
1.9069490130565788e+14 4.5070509375511085e-04 -3.5858792308417646e+00
1.9104667791380178e+14 4.9617003471741947e-04 -4.4786460130196417e+00
1.9139975477150541e+14 6.0225527191584824e-04 -5.3822124922938643e+00
