

wavelength(nm), Y
1601.67, -3.78839
1601.56, -3.78839
1601.45, -3.78839
1601.35, -3.78839
1601.24, -3.78839
1601.13, -3.78839
1601.03, -3.78839
1600.92, -3.78839
1600.81, -3.78839
1600.71, -3.78839
1600.6, -3.78839
1600.49, -3.78839
1600.39, -3.78839
1600.28, -3.78839
1600.17, -3.78839
1600.07, -3.78839
1599.96, -3.78839
1599.85, -3.78839
1599.75, -3.78839
1599.64, -3.78839
1599.53, -3.78839
1599.43, -3.78839
1599.32, -3.78839
1599.21, -3.78839
1599.11, -3.78839
1599, -3.78839
1598.9, -3.78839
1598.79, -3.78839
1598.68, -3.78839
1598.58, -3.78839
1598.47, -3.78839
1598.36, -3.78839
1598.26, -3.78839
1598.15, -3.78839
1598.04, -3.78839
1597.94, -3.78839
1597.83, -3.78839
1597.73, -3.78839
1597.62, -3.78839
1597.51, -3.78839
1597.41, -3.78839
1597.3, -3.78839
1597.19, -3.78839
1597.09, -3.78839
1596.98, -3.78839
1596.88, -3.78839
1596.77, -3.78839
1596.66, -3.78839
1596.56, -3.78839
1596.45, -3.78839
1596.35, -3.78839
1596.24, -3.78839
1596.13, -3.78839
1596.03, -3.78839
1595.92, -3.78839
1595.82, -3.78839
1595.71, -3.78839
1595.6, -3.78839
1595.5, -3.78839
1595.39, -3.78839
1595.29, -3.78839
1595.18, -3.78839
1595.07, -3.78839
1594.97, -3.78839
1594.86, -3.78839
1594.76, -3.78839
1594.65, -3.78839
1594.54, -3.78839
1594.44, -3.78839
1594.33, -3.78839
1594.23, -3.78839
1594.12, -3.78839
1594.02, -3.78839
1593.91, -3.78839
1593.8, -3.78839
1593.7, -3.78839
1593.59, -3.78839
1593.49, -3.78839
1593.38, -3.78839
1593.28, -3.78839
1593.17, -3.78839
1593.06, -3.78839
1592.96, -3.78839
1592.85, -3.78839
1592.75, -3.78839
1592.64, -3.78839
1592.54, -3.78839
1592.43, -3.78839
1592.33, -3.78839
1592.22, -3.78839
1592.11, -3.78839
1592.01, -3.78839
1591.9, -3.78839
1591.8, -3.78839
1591.69, -3.78839
1591.59, -3.78839
1591.48, -3.78839
1591.38, -3.78839
1591.27, -3.78839
1591.16, -3.78839
1591.06, -3.78839
1590.95, -3.78839
1590.85, -3.78839
1590.74, -3.78839
1590.64, -3.78839
1590.53, -3.78839
1590.43, -3.78839
1590.32, -3.78839
1590.22, -3.78839
1590.11, -3.78839
1590.01, -3.78839
1589.9, -3.78839
1589.8, -3.78839
1589.69, -3.78839
1589.59, -3.78839
