

wavelength(nm), Y
1580.59, -39.3182
1580.53, -39.3263
1580.47, -39.3343
1580.4, -39.3424
1580.34, -39.3504
1580.28, -39.3585
1580.22, -39.3666
1580.16, -39.3747
1580.09, -39.3828
1580.03, -39.3909
1579.97, -39.399
1579.91, -39.4071
1579.84, -39.4152
1579.78, -39.4233
1579.72, -39.4315
1579.66, -39.4396
1579.59, -39.4478
1579.53, -39.4559
1579.47, -39.4641
1579.41, -39.4723
1579.35, -39.4804
1579.28, -39.4886
1579.22, -39.4968
1579.16, -39.505
1579.1, -39.5132
1579.03, -39.5215
1578.97, -39.5297
1578.91, -39.5369
1578.85, -39.5434
1578.78, -39.5499
1578.72, -39.5564
1578.66, -39.5629
1578.6, -39.5694
1578.54, -39.5759
1578.47, -39.5825
1578.41, -39.589
1578.35, -39.5956
1578.29, -39.6021
1578.22, -39.6087
1578.16, -39.6152
1578.1, -39.6218
1578.04, -39.6283
1577.98, -39.6349
1577.91, -39.6415
1577.85, -39.6481
1577.79, -39.6546
1577.73, -39.6612
1577.67, -39.6678
1577.6, -39.6744
1577.54, -39.681
1577.48, -39.6876
1577.42, -39.6943
1577.35, -39.7009
1577.29, -39.7075
1577.23, -39.7141
1577.17, -39.7208
1577.11, -39.7274
1577.04, -39.7341
1576.98, -39.7407
1576.92, -39.7474
1576.86, -39.754
1576.8, -39.7607
1576.73, -39.7674
1576.67, -39.774
1576.61, -39.7807
1576.55, -39.7874
1576.48, -39.7941
1576.42, -39.8008
1576.36, -39.8075
1576.3, -39.8142
1576.24, -39.8209
1576.17, -39.8276
1576.11, -39.8344
1576.05, -39.8411
1575.99, -39.8478
1575.93, -39.8546
1575.86, -39.8613
1575.8, -39.868
1575.74, -39.8748
1575.68, -39.8816
1575.62, -39.8883
1575.55, -39.8951
1575.49, -39.9019
1575.43, -39.9086
1575.37, -39.9154
1575.31, -39.9222
1575.24, -39.929
1575.18, -39.9358
1575.12, -39.9426
1575.06, -39.9494
1575, -39.9563
1574.93, -39.9631
1574.87, -39.9699
1574.81, -39.9767
1574.75, -39.9836
1574.69, -39.9904
1574.63, -39.9973
1574.56, -40.0041
1574.5, -40.011
1574.44, -40.0179
1574.38, -40.0247
1574.32, -40.0316
1574.25, -40.0385
1574.19, -40.0454
1574.13, -40.0523
1574.07, -40.0592
1574.01, -40.0661
1573.94, -40.073
1573.88, -40.0799
1573.82, -40.0868
1573.76, -40.0936
1573.7, -40.0998
1573.63, -40.106
1573.57, -40.1121
1573.51, -40.1183
1573.45, -40.1245
1573.39, -40.1307
1573.33, -40.1369
1573.26, -40.1431
1573.2, -40.1493
1573.14, -40.1555
1573.08, -40.1617
1573.02, -40.1679
1572.95, -40.1742
1572.89, -40.1804
1572.83, -40.1866
1572.77, -40.1929
1572.71, -40.1991
1572.65, -40.2053
1572.58, -40.2116
1572.52, -40.2179
1572.46, -40.2241
1572.4, -40.2304
1572.34, -40.2366
1572.28, -40.2429
1572.21, -40.2492
1572.15, -40.2555
1572.09, -40.2618
1572.03, -40.2681
1571.97, -40.2744
1571.91, -40.2807
1571.84, -40.287
1571.78, -40.2933
1571.72, -40.2996
1571.66, -40.3059
1571.6, -40.3122
1571.54, -40.3185
1571.47, -40.3249
1571.41, -40.3312
1571.35, -40.3376
1571.29, -40.3439
1571.23, -40.3503
1571.17, -40.3566
1571.1, -40.363
1571.04, -40.3693
1570.98, -40.3757
1570.92, -40.3821
1570.86, -40.3885
1570.8, -40.3948
1570.73, -40.4012
1570.67, -40.4076
1570.61, -40.414
1570.55, -40.4204
1570.49, -40.4268
1570.43, -40.4332
1570.36, -40.4397
1570.3, -40.4461
1570.24, -40.4525
1570.18, -40.4589
1570.12, -40.4654
1570.06, -40.4718
1569.99, -40.4783
1569.93, -40.4847
1569.87, -40.4912
1569.81, -40.4976
1569.75, -40.5041
1569.69, -40.5106
1569.63, -40.517
1569.56, -40.5235
1569.5, -40.53
1569.44, -40.5365
1569.38, -40.543
1569.32, -40.5495
1569.26, -40.556
1569.19, -40.5625
1569.13, -40.569
1569.07, -40.5755
1569.01, -40.582
1568.95, -40.5886
1568.89, -40.5951
1568.83, -40.6016
1568.76, -40.6082
1568.7, -40.6147
1568.64, -40.6213
1568.58, -40.6268
1568.52, -40.6321
1568.46, -40.6374
1568.4, -40.6427
1568.33, -40.648
1568.27, -40.6533
1568.21, -40.6585
1568.15, -40.6638
1568.09, -40.6691
1568.03, -40.6744
1567.97, -40.6797
1567.9, -40.6851
1567.84, -40.6904
1567.78, -40.6957
1567.72, -40.701
1567.66, -40.7063
1567.6, -40.7116
1567.54, -40.717
1567.47, -40.7223
1567.41, -40.7276
1567.35, -40.733
1567.29, -40.7383
1567.23, -40.7437
1567.17, -40.749
1567.11, -40.7544
1567.05, -40.7597
1566.98, -40.7651
1566.92, -40.7704
1566.86, -40.7758
1566.8, -40.7812
1566.74, -40.7865
1566.68, -40.7919
1566.62, -40.7973
1566.55, -40.8027
1566.49, -40.8081
1566.43, -40.8134
1566.37, -40.8188
1566.31, -40.8242
1566.25, -40.8296
1566.19, -40.835
1566.13, -40.8404
1566.06, -40.8458
1566, -40.8513
1565.94, -40.8567
1565.88, -40.8621
1565.82, -40.8675
1565.76, -40.8729
1565.7, -40.8784
1565.64, -40.8838
1565.57, -40.8892
1565.51, -40.8947
1565.45, -40.9001
1565.39, -40.9056
1565.33, -40.911
1565.27, -40.9165
1565.21, -40.9219
1565.15, -40.9274
1565.09, -40.9328
1565.02, -40.9383
1564.96, -40.9438
1564.9, -40.9492
1564.84, -40.9547
1564.78, -40.9602
1564.72, -40.9657
1564.66, -40.9712
1564.6, -40.9766
1564.54, -40.9821
1564.47, -40.9876
1564.41, -40.9931
1564.35, -40.9986
1564.29, -41.0042
1564.23, -41.0097
1564.17, -41.0152
1564.11, -41.0207
1564.05, -41.0262
1563.99, -41.0317
1563.92, -41.0373
1563.86, -41.0428
1563.8, -41.0483
1563.74, -41.0539
1563.68, -41.0594
1563.62, -41.065
1563.56, -41.0705
1563.5, -41.0747
1563.44, -41.0764
1563.37, -41.0782
1563.31, -41.0799
1563.25, -41.0816
1563.19, -41.0834
1563.13, -41.0851
1563.07, -41.0868
1563.01, -41.0885
1562.95, -41.0903
1562.89, -41.092
1562.83, -41.0937
1562.76, -41.0955
1562.7, -41.0972
1562.64, -41.0989
1562.58, -41.1006
1562.52, -41.1024
1562.46, -41.1041
1562.4, -41.1058
1562.34, -41.1076
1562.28, -41.1093
1562.22, -41.111
1562.15, -41.1128
1562.09, -41.1145
1562.03, -41.1162
