["port lower 1","LEFT"]
["port lower 2","RIGHT"]
["port upper 1","TOP"]
["port upper 2","TOP"]
("port upper 1","mode 1",1,"port upper 1",1,"transmission",4.82137e-13)
(23, 3)
1.8737028624999997e+14 1.6756601753916704e-03 -1.8331935589659081e+00
1.8799485387083331e+14 3.1449448123841979e-04 -5.2251501219751506e-01
1.8861942149166662e+14 4.5815874551502411e-03 -2.6806846103585902e+00
1.8924398911249997e+14 6.3373948629320371e-03 -3.4628742652031979e+00
1.8986855673333331e+14 3.7777312695673388e-03 -4.3378003531411844e+00
1.9049312435416662e+14 5.8799047320123188e-03 -5.3660382667910511e+00
1.9111769197499997e+14 1.1195267108767433e-02 -4.8571934800018139e+00
1.9174225959583331e+14 7.4543403685013330e-03 -6.1727719507715566e+00
1.9236682721666666e+14 2.5338107135070138e-02 -6.9190801295111033e+00
1.9299139483749997e+14 1.1738801541333055e-02 -7.5689744255812057e+00
1.9359660086208747e+14 2.5868694174198157e-02 -9.0118720531451331e+00
1.9361596245833331e+14 2.6235187927335212e-02 -9.0122455768341467e+00
1.9363532405457916e+14 2.6558555210802196e-02 -9.0118720531451331e+00
1.9424053007916666e+14 1.5642678590796766e-02 -8.8998208750596195e+00
1.9486509769999997e+14 1.4939725367589146e-02 -1.0945171582218894e+01
1.9548966532083331e+14 1.8641573352232925e-02 -1.0683227393041799e+01
1.9611423294166666e+14 7.5729828745621499e-03 -1.2683299794519906e+01
1.9673880056250000e+14 1.5016753060739914e-02 -1.2889663672662975e+01
1.9736336818333331e+14 8.2088239717358416e-03 -1.4757146397407883e+01
1.9798793580416666e+14 1.1734367231436275e-02 -1.5230966957985753e+01
1.9861250342500000e+14 7.1098590937738165e-03 -1.6944651660963206e+01
1.9923707104583331e+14 4.1314353804197063e-03 -1.8019392825698844e+01
1.9986163866666666e+14 3.6819625805763105e-03 -2.0539217056813126e+01
("port upper 1","mode 1",1,"port upper 2",1,"transmission",6.1062506743685560e-13)
(23, 3)
1.8737028624999997e+14 5.6439254894221924e-01 1.8576169095432500e+00
1.8799485387083331e+14 5.8162279947341333e-01 1.8705765643751711e+00
1.8861942149166662e+14 5.9823155581617582e-01 1.8818081140146679e+00
1.8924398911249997e+14 6.1423218859677697e-01 1.8913975903640419e+00
1.8986855673333331e+14 6.2966689000371856e-01 1.8995561373376584e+00
1.9049312435416662e+14 6.4450814817309288e-01 1.9064233092585487e+00
1.9111769197499997e+14 6.5874800529779765e-01 1.9119986672165907e+00
1.9174225959583331e+14 6.7237204334224110e-01 1.9162824030142609e+00
1.9236682721666666e+14 6.8546041857223827e-01 1.9192784669312666e+00
1.9299139483749997e+14 6.9808114821739420e-01 1.9209376920095558e+00
1.9359660086208747e+14 7.0994139148374913e-01 1.9214718895733864e+00
1.9361596245833331e+14 7.1031462771822607e-01 1.9214723633520534e+00
1.9363532405457916e+14 7.1068749813779852e-01 1.9214718895733864e+00
1.9424053007916666e+14 7.2212044689224153e-01 1.9210037011840950e+00
1.9486509769999997e+14 7.3338855375558709e-01 1.9194950290128443e+00
1.9548966532083331e+14 7.4416845178220137e-01 1.9168399095769904e+00
1.9611423294166666e+14 7.5448239606726497e-01 1.9131213553745809e+00
1.9673880056250000e+14 7.6432303564722470e-01 1.9083750270207898e+00
1.9736336818333331e+14 7.7370930264530413e-01 1.9025711427439571e+00
1.9798793580416666e+14 7.8273546937211835e-01 1.8958158976398856e+00
1.9861250342500000e+14 7.9141877387604787e-01 1.8881358040336889e+00
1.9923707104583331e+14 7.9972406329355028e-01 1.8794605678579228e+00
1.9986163866666666e+14 8.0770172565974430e-01 1.8697192247298045e+00
("port upper 1","mode 1",1,"port lower 1",1,"transmission",8.6468619232334705e-13)
(23, 3)
1.8737028624999997e+14 1.2246161736951654e-03 2.6816418969319029e+00
1.8799485387083331e+14 1.3544763079888934e-03 2.7533145688547931e+00
1.8861942149166662e+14 1.9856887139231678e-03 2.5118261948558929e+00
1.8924398911249997e+14 2.2065994685205119e-03 2.0790616077173651e+00
1.8986855673333331e+14 2.2748764004951695e-03 1.9100090991197898e+00
1.9049312435416662e+14 3.3834181870891224e-03 1.8336924667078303e+00
1.9111769197499997e+14 4.8182436400712077e-03 1.5747053123202861e+00
1.9174225959583331e+14 5.7026461076281213e-03 1.4514474089040725e+00
1.9236682721666666e+14 7.2100536811587294e-03 1.4483815284287440e+00
1.9299139483749997e+14 8.7403422860667657e-03 1.3454521374766959e+00
1.9359660086208747e+14 8.9928813893601651e-03 1.2811068060673885e+00
1.9361596245833331e+14 8.9902762003529792e-03 1.2810497095530202e+00
1.9363532405457916e+14 8.9876509668202938e-03 1.2811068060673885e+00
1.9424053007916666e+14 9.0324713174943679e-03 1.3071633972173244e+00
1.9486509769999997e+14 8.7602806315997383e-03 1.2908194729347866e+00
1.9548966532083331e+14 7.2249556031918089e-03 1.3068688198481437e+00
1.9611423294166666e+14 5.7469609525007924e-03 1.4912481948074900e+00
1.9673880056250000e+14 4.7654325013426748e-03 1.6607526744246555e+00
1.9736336818333331e+14 3.4248280550984206e-03 1.9228677237511109e+00
1.9798793580416666e+14 3.0243671487604181e-03 2.2776813891407470e+00
1.9861250342500000e+14 2.2536089370208926e-03 2.2386415877230061e+00
1.9923707104583331e+14 5.5790748231996040e-04 1.8938229313078441e+00
1.9986163866666666e+14 1.1612018763285030e-03 -5.2065639070436243e-01
("port upper 1","mode 1",1,"port lower 2",1,"transmission",5.2000040472063275e-13)
(23, 3)
