

lambda(nm), Y
1600, 0.00192737
1597.83, 0.00198096
1595.66, 0.00195893
1593.5, 0.00187002
1591.34, 0.00174124
1589.19, 0.00161038
1587.04, 0.00151526
1584.91, 0.00148274
1582.77, 0.00152087
1580.65, 0.00161635
1578.52, 0.00173826
1576.41, 0.00184666
1574.3, 0.00190381
1572.19, 0.00188471
1570.09, 0.00178414
1568, 0.00161842
1565.91, 0.00142163
1563.83, 0.00123739
1561.75, 0.00110852
1559.68, 0.00106718
1557.62, 0.0011277
1555.56, 0.0012838
1553.5, 0.00151038
1551.45, 0.00176935
1549.41, 0.00201779
1548.54, 0.00211013
1548.23, 0.00214053
1547.37, 0.00221678
1545.34, 0.00233893
1543.31, 0.00237315
1541.28, 0.00232616
1539.27, 0.00222032
1537.25, 0.00208858
1535.25, 0.00196755
1533.25, 0.00188993
1531.25, 0.00187793
1529.26, 0.00193872
1527.27, 0.00206296
1525.29, 0.00222677
1523.32, 0.00239667
1521.35, 0.00253681
1519.38, 0.00261687
1517.42, 0.00261903
1515.46, 0.00254218
1513.51, 0.00240239
1511.57, 0.0022293
1509.63, 0.00205909
1507.69, 0.00192579
1505.76, 0.00185303
1503.84, 0.00184849
1501.92, 0.0019026
1500, 0.00199195
1600, 0.443555
1597.83, 0.443541
1595.66, 0.443508
1593.5, 0.443457
1591.34, 0.44339
1589.19, 0.443309
1587.04, 0.44322
1584.91, 0.443123
1582.77, 0.443017
1580.65, 0.442899
1578.52, 0.442766
1576.41, 0.442613
1574.3, 0.44244
1572.19, 0.442249
1570.09, 0.442042
1568, 0.441821
1565.91, 0.441585
1563.83, 0.44133
1561.75, 0.441051
1559.68, 0.440741
1557.62, 0.440395
1555.56, 0.440011
1553.5, 0.439592
1551.45, 0.439141
1549.41, 0.438665
1548.54, 0.438456
1548.23, 0.438381
1547.37, 0.438168
1545.34, 0.437653
1543.31, 0.437122
1541.28, 0.436575
1539.27, 0.436012
1537.25, 0.435437
1535.25, 0.434856
1533.25, 0.434276
1531.25, 0.433704
1529.26, 0.433146
1527.27, 0.432602
1525.29, 0.432071
1523.32, 0.431545
1521.35, 0.431021
1519.38, 0.430491
1517.42, 0.429954
1515.46, 0.429409
1513.51, 0.428857
1511.57, 0.428297
1509.63, 0.427726
1507.69, 0.427139
1505.76, 0.426531
1503.84, 0.425895
1501.92, 0.425231
1500, 0.42454
1600, 0.44377
1597.83, 0.443756
1595.66, 0.443724
1593.5, 0.443672
1591.34, 0.443603
1589.19, 0.443521
1587.04, 0.443429
1584.91, 0.443329
1582.77, 0.44322
1580.65, 0.443098
1578.52, 0.442959
1576.41, 0.442802
1574.3, 0.442623
1572.19, 0.442426
1570.09, 0.442213
1568, 0.441984
1565.91, 0.44174
1563.83, 0.441477
1561.75, 0.44119
1559.68, 0.440871
1557.62, 0.440517
1555.56, 0.440124
1553.5, 0.439695
1551.45, 0.439234
1549.41, 0.438748
1548.54, 0.438535
1548.23, 0.438458
1547.37, 0.438241
1545.34, 0.437717
1543.31, 0.437177
1541.28, 0.43662
1539.27, 0.436049
1537.25, 0.435466
1535.25, 0.434877
1533.25, 0.43429
1531.25, 0.433712
1529.26, 0.433149
1527.27, 0.432601
1525.29, 0.432066
1523.32, 0.431538
1521.35, 0.431011
1519.38, 0.43048
1517.42, 0.429943
1515.46, 0.429398
1513.51, 0.428846
1511.57, 0.428287
1509.63, 0.427718
1507.69, 0.427133
1505.76, 0.426527
1503.84, 0.425894
1501.92, 0.425233
1500, 0.424547


