lambda(nm), Y
1600, 0.000111046
1597.83, 0.000120294
1595.66, 0.000130847
1593.5, 0.000140334
1591.34, 0.00014714
1589.19, 0.000150449
1587.04, 0.000150143
1584.91, 0.000146608
1582.77, 0.000140503
1580.65, 0.000132549
1578.52, 0.000123365
1576.41, 0.000113404
1574.3, 0.000102949
1572.19, 9.21875e-05
1570.09, 8.13088e-05
1568, 7.06025e-05
1565.91, 6.05195e-05
1563.83, 5.16818e-05
1561.75, 4.48329e-05
1559.68, 4.0741e-05
1557.62, 4.00748e-05
1555.56, 4.32817e-05
1553.5, 5.04919e-05
1551.45, 6.14704e-05
1549.41, 7.56248e-05
1548.54, 8.23775e-05
1548.23, 8.48819e-05
1547.37, 9.20675e-05
1545.34, 0.000109718
1543.31, 0.000127425
1541.28, 0.00014409
1539.27, 0.000158771
1537.25, 0.000170748
1535.25, 0.000179553
1533.25, 0.000184975
1531.25, 0.000187022
1529.26, 0.000185882
1527.27, 0.00018188
1525.29, 0.000175431
1523.32, 0.000167006
1521.35, 0.000157103
1519.38, 0.000146219
1517.42, 0.000134818
1515.46, 0.000123297
1513.51, 0.000111955
1511.57, 0.000100963
1509.63, 9.03553e-05
1507.69, 8.00397e-05
1505.76, 6.98398e-05
1503.84, 5.95639e-05
1501.92, 4.90917e-05
1500, 3.84623e-05
1600, 0.259953
1597.83, 0.263763
1595.66, 0.267542
1593.5, 0.271293
1591.34, 0.275021
1589.19, 0.278731
1587.04, 0.282425
1584.91, 0.286109
1582.77, 0.289785
1580.65, 0.293456
1578.52, 0.297127
1576.41, 0.300798
1574.3, 0.304473
1572.19, 0.308154
1570.09, 0.311843
1568, 0.315541
1565.91, 0.31925
1563.83, 0.322969
1561.75, 0.326697
1559.68, 0.330434
1557.62, 0.334174
1555.56, 0.337915
1553.5, 0.341649
1551.45, 0.345371
1549.41, 0.349072
1548.54, 0.350634
1548.23, 0.351192
1547.37, 0.352745
1545.34, 0.356381
1543.31, 0.359971
1541.28, 0.363505
1539.27, 0.366977
1537.25, 0.370377
1535.25, 0.373698
1533.25, 0.376931
1531.25, 0.38007
1529.26, 0.383107
1527.27, 0.386036
1525.29, 0.388851
1523.32, 0.391547
1521.35, 0.39412
1519.38, 0.396566
1517.42, 0.398885
1515.46, 0.401076
1513.51, 0.40314
1511.57, 0.40508
1509.63, 0.406898
1507.69, 0.408597
1505.76, 0.410182
1503.84, 0.411656
1501.92, 0.413021
1500, 0.414281
1600, 0.260126
1597.83, 0.263934
1595.66, 0.267711
1593.5, 0.27146
1591.34, 0.275186
1589.19, 0.278894
1587.04, 0.282587
1584.91, 0.28627
1582.77, 0.289945
1580.65, 0.293616
1578.52, 0.297287
1576.41, 0.300958
1574.3, 0.304634
1572.19, 0.308316
1570.09, 0.312006
1568, 0.315706
1565.91, 0.319417
1563.83, 0.323138
1561.75, 0.326869
1559.68, 0.330607
1557.62, 0.334351
1555.56, 0.338094
1553.5, 0.341831
1551.45, 0.345556
1549.41, 0.34926
1548.54, 0.350823
1548.23, 0.351381
1547.37, 0.352936
1545.34, 0.356574
1543.31, 0.360166
1541.28, 0.363704
1539.27, 0.367178
1537.25, 0.370581
1535.25, 0.373903
1533.25, 0.377139
1531.25, 0.38028
1529.26, 0.383319
1527.27, 0.38625
1525.29, 0.389066
1523.32, 0.391764
1521.35, 0.394338
1519.38, 0.396786
1517.42, 0.399107
1515.46, 0.401299
1513.51, 0.403365
1511.57, 0.405307
1509.63, 0.407126
1507.69, 0.408828
1505.76, 0.410415
1503.84, 0.41189
1501.92, 0.413257
1500, 0.414519


