lambda(nm), Y
1600, -0.961437
1597.83, -0.96129
1595.66, -0.961123
1593.5, -0.960951
1591.34, -0.960784
1589.19, -0.960635
1587.04, -0.960515
1584.91, -0.960434
1582.77, -0.960397
1580.65, -0.960409
1578.52, -0.960472
1576.41, -0.960586
1574.3, -0.960746
1572.19, -0.960947
1570.09, -0.961183
1568, -0.961445
1565.91, -0.961723
1563.83, -0.962008
1561.75, -0.96229
1559.68, -0.962561
1557.62, -0.962812
1555.56, -0.963037
1553.5, -0.96323
1551.45, -0.963388
1549.41, -0.963507
1547.37, -0.963586
1545.34, -0.963626
1543.31, -0.963628
1541.28, -0.963593
1539.27, -0.963524
1537.25, -0.963424
1535.25, -0.963295
1533.25, -0.96314
1531.25, -0.962962
1529.26, -0.962761
1527.27, -0.962539
1525.29, -0.962298
1523.32, -0.962038
1521.35, -0.961759
1519.38, -0.961462
1517.42, -0.961146
1515.46, -0.960812
1513.51, -0.960461
1511.57, -0.960094
1509.63, -0.959713
1507.69, -0.95932
1505.76, -0.95892
1503.84, -0.958515
1501.92, -0.958112
1500, -0.957714
1600, -0.499229
1597.83, -0.499175
1595.66, -0.499099
1593.5, -0.499007
1591.34, -0.498906
1589.19, -0.498805
1587.04, -0.498714
1584.91, -0.498639
1582.77, -0.498586
1580.65, -0.498558
1578.52, -0.498552
1576.41, -0.498566
1574.3, -0.498594
1572.19, -0.49863
1570.09, -0.498671
1568, -0.498713
1565.91, -0.498753
1563.83, -0.498793
1561.75, -0.498832
1559.68, -0.498872
1557.62, -0.498913
1555.56, -0.498954
1553.5, -0.498993
1551.45, -0.499025
1549.41, -0.499047
1547.37, -0.499053
1545.34, -0.499041
1543.31, -0.49901
1541.28, -0.498962
1539.27, -0.4989
1537.25, -0.498831
1535.25, -0.498761
1533.25, -0.498697
1531.25, -0.498644
1529.26, -0.498605
1527.27, -0.49858
1525.29, -0.498566
1523.32, -0.498559
1521.35, -0.498554
1519.38, -0.498547
1517.42, -0.498535
1515.46, -0.498518
1513.51, -0.498499
1511.57, -0.498482
1509.63, -0.498474
1507.69, -0.498478
1505.76, -0.498499
1503.84, -0.498537
1501.92, -0.498589
1500, -0.49865
1600, -0.499229
1597.83, -0.499175
1595.66, -0.499099
1593.5, -0.499007
1591.34, -0.498906
1589.19, -0.498805
1587.04, -0.498714
1584.91, -0.498639
1582.77, -0.498586
1580.65, -0.498558
1578.52, -0.498552
1576.41, -0.498566
1574.3, -0.498594
1572.19, -0.49863
1570.09, -0.498671
1568, -0.498713
1565.91, -0.498753
1563.83, -0.498793
1561.75, -0.498832
1559.68, -0.498872
1557.62, -0.498913
1555.56, -0.498954
1553.5, -0.498993
1551.45, -0.499025
1549.41, -0.499047
1547.37, -0.499053
1545.34, -0.499041
1543.31, -0.499011
1541.28, -0.498962
1539.27, -0.4989
1537.25, -0.498831
1535.25, -0.498761
1533.25, -0.498697
1531.25, -0.498644
1529.26, -0.498605
1527.27, -0.49858
1525.29, -0.498566
1523.32, -0.498559
1521.35, -0.498554
1519.38, -0.498547
1517.42, -0.498535
1515.46, -0.498518
1513.51, -0.498498
1511.57, -0.498482
1509.63, -0.498474
1507.69, -0.498478
1505.76, -0.498499
1503.84, -0.498537
1501.92, -0.498589
1500, -0.49865
