lambda(m), Y
1.6e-06, -0.998147
1.59783e-06, -0.998082
1.59566e-06, -0.998117
1.5935e-06, -0.998247
1.59134e-06, -0.998442
1.58919e-06, -0.998657
1.58704e-06, -0.998833
1.58491e-06, -0.99892
1.58277e-06, -0.998887
1.58065e-06, -0.998733
1.57852e-06, -0.998491
1.57641e-06, -0.998219
1.5743e-06, -0.997984
1.57219e-06, -0.997845
1.57009e-06, -0.99783
1.568e-06, -0.997925
1.56591e-06, -0.998081
1.56383e-06, -0.998222
1.56175e-06, -0.998275
1.55968e-06, -0.998188
1.55762e-06, -0.997949
1.55556e-06, -0.997593
1.5535e-06, -0.997188
1.55145e-06, -0.996816
1.54941e-06, -0.996551
1.54737e-06, -0.996433
1.54534e-06, -0.996467
1.54331e-06, -0.996624
1.54128e-06, -0.996856
1.53927e-06, -0.997113
1.53725e-06, -0.997355
1.53525e-06, -0.997556
1.53325e-06, -0.997703
1.53125e-06, -0.997785
1.52926e-06, -0.997788
1.52727e-06, -0.997695
1.52529e-06, -0.997498
1.52332e-06, -0.997204
1.52135e-06, -0.996849
1.51938e-06, -0.996497
1.51742e-06, -0.996226
1.51546e-06, -0.996111
1.51351e-06, -0.996192
1.51157e-06, -0.996461
1.50963e-06, -0.996857
1.50769e-06, -0.997277
1.50576e-06, -0.997608
1.50384e-06, -0.99776
1.50192e-06, -0.997692
1.5e-06, -0.997428
1.6e-06, -1.8289
1.59783e-06, -1.82937
1.59566e-06, -1.82988
1.5935e-06, -1.83041
1.59134e-06, -1.83095
1.58919e-06, -1.83151
1.58704e-06, -1.83207
1.58491e-06, -1.83262
1.58277e-06, -1.83315
1.58065e-06, -1.83363
1.57852e-06, -1.83407
1.57641e-06, -1.83444
1.5743e-06, -1.83475
1.57219e-06, -1.83497
1.57009e-06, -1.83511
1.568e-06, -1.83518
1.56591e-06, -1.83516
1.56383e-06, -1.83509
1.56175e-06, -1.83495
1.55968e-06, -1.83478
1.55762e-06, -1.83458
1.55556e-06, -1.83436
1.5535e-06, -1.83414
1.55145e-06, -1.83391
1.54941e-06, -1.83367
1.54737e-06, -1.83343
1.54534e-06, -1.83315
1.54331e-06, -1.83284
1.54128e-06, -1.83247
1.53927e-06, -1.83201
1.53725e-06, -1.83144
1.53525e-06, -1.83075
1.53325e-06, -1.82992
1.53125e-06, -1.82893
1.52926e-06, -1.8278
1.52727e-06, -1.82652
1.52529e-06, -1.82511
1.52332e-06, -1.8236
1.52135e-06, -1.822
1.51938e-06, -1.82036
1.51742e-06, -1.8187
1.51546e-06, -1.81705
1.51351e-06, -1.81543
1.51157e-06, -1.81386
1.50963e-06, -1.81235
1.50769e-06, -1.81089
1.50576e-06, -1.80949
1.50384e-06, -1.80813
1.50192e-06, -1.80677
1.5e-06, -1.80541
1.6e-06, 0.000120478
1.59783e-06, 0.000111463
1.59566e-06, 0.000101634
1.5935e-06, 9.13205e-05
1.59134e-06, 8.08782e-05
1.58919e-06, 7.06546e-05
1.58704e-06, 6.096e-05
1.58491e-06, 5.20469e-05
1.58277e-06, 4.40985e-05
1.58065e-06, 3.72277e-05
1.57852e-06, 3.14822e-05
1.57641e-06, 2.6856e-05
1.5743e-06, 2.33031e-05
1.57219e-06, 2.07509e-05
1.57009e-06, 1.91125e-05
1.568e-06, 1.82954e-05
1.56591e-06, 1.82076e-05
1.56383e-06, 1.87613e-05
1.56175e-06, 1.98748e-05
1.55968e-06, 2.14739e-05
1.55762e-06, 2.34923e-05
1.55556e-06, 2.58725e-05
1.5535e-06, 2.85658e-05
1.55145e-06, 3.15317e-05
1.54941e-06, 3.47368e-05
1.54737e-06, 3.81533e-05
1.54534e-06, 4.17573e-05
1.54331e-06, 4.55278e-05
1.54128e-06, 4.94456e-05
1.53927e-06, 5.34932e-05
1.53725e-06, 5.76545e-05
1.53525e-06, 6.19146e-05
1.53325e-06, 6.62609e-05
1.53125e-06, 7.06837e-05
1.52926e-06, 7.51799e-05
1.52727e-06, 7.97584e-05
1.52529e-06, 8.44468e-05
1.52332e-06, 8.92989e-05
1.52135e-06, 9.44e-05
1.51938e-06, 9.98674e-05
1.51742e-06, 0.000105843
1.51546e-06, 0.000112481
1.51351e-06, 0.000119923
1.51157e-06, 0.000128278
1.50963e-06, 0.0001376
1.50769e-06, 0.00014787
1.50576e-06, 0.000158997
1.50384e-06, 0.000170824
1.50192e-06, 0.000183147
1.5e-06, 0.000195742


