

lambda(nm), Y
1600, 0.997732
1597.83, 0.997761
1595.66, 0.997782
1593.5, 0.997791
1591.34, 0.997788
1589.19, 0.99777
1587.04, 0.997739
1584.91, 0.997696
1582.77, 0.997644
1580.65, 0.997588
1578.52, 0.99753
1576.41, 0.997474
1574.3, 0.997425
1572.19, 0.997384
1570.09, 0.997356
1568, 0.997342
1565.91, 0.997343
1563.83, 0.997358
1561.75, 0.997387
1559.68, 0.997426
1557.62, 0.997473
1555.56, 0.997522
1553.5, 0.99757
1551.45, 0.997611
1549.41, 0.997642
1547.37, 0.99766
1545.34, 0.997662
1543.31, 0.997651
1541.28, 0.997628
1539.27, 0.997597
1537.25, 0.997563
1535.25, 0.997532
1533.25, 0.997509
1531.25, 0.997498
1529.26, 0.997503
1527.27, 0.997523
1525.29, 0.997557
1523.32, 0.997602
1521.35, 0.997653
1519.38, 0.997704
1517.42, 0.997749
1515.46, 0.997784
1513.51, 0.997805
1511.57, 0.997812
1509.63, 0.997805
1507.69, 0.997787
1505.76, 0.997765
1503.84, 0.997742
1501.92, 0.997726
1500, 0.99772




lambda(nm), Y
1600, 0.441835
1597.83, 0.441559
1595.66, 0.441291
1593.5, 0.441033
1591.34, 0.440786
1589.19, 0.440552
1587.04, 0.440332
1584.91, 0.440126
1582.77, 0.439934
1580.65, 0.439757
1578.52, 0.439593
1576.41, 0.439441
1574.3, 0.439299
1572.19, 0.439163
1570.09, 0.439032
1568, 0.438903
1565.91, 0.438771
1563.83, 0.438634
1561.75, 0.438491
1559.68, 0.438338
1557.62, 0.438175
1555.56, 0.438
1553.5, 0.437815
1551.45, 0.43762
1549.41, 0.437417
1547.37, 0.437207
1545.34, 0.436993
1543.31, 0.436777
1541.28, 0.436562
1539.27, 0.43635
1537.25, 0.436142
1535.25, 0.435942
1533.25, 0.435749
1531.25, 0.435565
1529.26, 0.435389
1527.27, 0.435221
1525.29, 0.43506
1523.32, 0.434905
1521.35, 0.434755
1519.38, 0.434608
1517.42, 0.434461
1515.46, 0.434315
1513.51, 0.434166
1511.57, 0.434014
1509.63, 0.433857
1507.69, 0.433695
1505.76, 0.433526
1503.84, 0.43335
1501.92, 0.433166
1500, 0.432974




lambda(nm), Y
1600, 0.441835
1597.83, 0.441559
1595.66, 0.441291
1593.5, 0.441033
1591.34, 0.440786
1589.19, 0.440552
1587.04, 0.440332
1584.91, 0.440126
1582.77, 0.439934
1580.65, 0.439757
1578.52, 0.439593
1576.41, 0.439441
1574.3, 0.439299
1572.19, 0.439163
1570.09, 0.439032
1568, 0.438903
1565.91, 0.438771
1563.83, 0.438634
1561.75, 0.438491
1559.68, 0.438338
1557.62, 0.438175
1555.56, 0.438
1553.5, 0.437815
1551.45, 0.43762
1549.41, 0.437417
1547.37, 0.437207
1545.34, 0.436993
1543.31, 0.436777
1541.28, 0.436562
1539.27, 0.43635
1537.25, 0.436142
1535.25, 0.435942
1533.25, 0.435749
1531.25, 0.435565
1529.26, 0.435389
1527.27, 0.435221
1525.29, 0.43506
1523.32, 0.434906
1521.35, 0.434755
1519.38, 0.434608
1517.42, 0.434461
1515.46, 0.434315
1513.51, 0.434166
1511.57, 0.434014
1509.63, 0.433857
1507.69, 0.433695
1505.76, 0.433526
1503.84, 0.43335
1501.92, 0.433166
1500, 0.432974


