lambda(nm), Y
1600, 0.994681
1597.83, 0.994771
1595.66, 0.994951
1593.5, 0.995188
1591.34, 0.995441
1589.19, 0.995668
1587.04, 0.995831
1584.91, 0.99591
1582.77, 0.995899
1580.65, 0.995814
1578.52, 0.995682
1576.41, 0.995537
1574.3, 0.995415
1572.19, 0.995343
1570.09, 0.995333
1568, 0.995381
1565.91, 0.995467
1563.83, 0.995558
1561.75, 0.99562
1559.68, 0.99562
1557.62, 0.995538
1555.56, 0.995372
1553.5, 0.995139
1551.45, 0.994869
1549.41, 0.994608
1547.37, 0.9944
1545.34, 0.994285
1543.31, 0.994287
1541.28, 0.994407
1539.27, 0.994627
1537.25, 0.994908
1535.25, 0.995199
1533.25, 0.995445
1531.25, 0.995598
1529.26, 0.995629
1527.27, 0.995528
1525.29, 0.995311
1523.32, 0.995015
1521.35, 0.994692
1519.38, 0.994398
1517.42, 0.994182
1515.46, 0.994079
1513.51, 0.994101
1511.57, 0.994238
1509.63, 0.994458
1507.69, 0.994712
1505.76, 0.994951
1503.84, 0.995127
1501.92, 0.995209
1500, 0.995184
1600, 0.438002
1597.83, 0.437884
1595.66, 0.437765
1593.5, 0.437644
1591.34, 0.437521
1589.19, 0.437393
1587.04, 0.437261
1584.91, 0.437122
1582.77, 0.436975
1580.65, 0.43682
1578.52, 0.436655
1576.41, 0.436479
1574.3, 0.436291
1572.19, 0.436091
1570.09, 0.435876
1568, 0.435648
1565.91, 0.435405
1563.83, 0.435146
1561.75, 0.434872
1559.68, 0.434582
1557.62, 0.434276
1555.56, 0.433953
1553.5, 0.433613
1551.45, 0.433256
1549.41, 0.432881
1547.37, 0.43249
1545.34, 0.432081
1543.31, 0.431655
1541.28, 0.431212
1539.27, 0.430752
1537.25, 0.430277
1535.25, 0.429785
1533.25, 0.429279
1531.25, 0.428758
1529.26, 0.428224
1527.27, 0.427677
1525.29, 0.427118
1523.32, 0.426548
1521.35, 0.425967
1519.38, 0.425375
1517.42, 0.424775
1515.46, 0.424165
1513.51, 0.423548
1511.57, 0.422922
1509.63, 0.422289
1507.69, 0.42165
1505.76, 0.421004
1503.84, 0.420353
1501.92, 0.419697
1500, 0.419037
1600, 0.00701985
1597.83, 0.00704017
1595.66, 0.00706028
1593.5, 0.00708027
1591.34, 0.0071002
1589.19, 0.00712009
1587.04, 0.00713998
1584.91, 0.00715993
1582.77, 0.00718004
1580.65, 0.00720042
1578.52, 0.00722123
1576.41, 0.0072426
1574.3, 0.00726465
1572.19, 0.00728746
1570.09, 0.00731106
1568, 0.00733541
1565.91, 0.00736041
1563.83, 0.00738593
1561.75, 0.00741181
1559.68, 0.0074379
1557.62, 0.00746406
1555.56, 0.00749015
1553.5, 0.00751606
1551.45, 0.00754169
1549.41, 0.00756688
1547.37, 0.00759142
1545.34, 0.00761506
1543.31, 0.00763739
1541.28, 0.00765798
1539.27, 0.00767629
1537.25, 0.00769177
1535.25, 0.00770392
1533.25, 0.00771234
1531.25, 0.00771678
1529.26, 0.00771725
1527.27, 0.007714
1525.29, 0.00770753
1523.32, 0.0076986
1521.35, 0.00768814
1519.38, 0.00767716
1517.42, 0.00766673
1515.46, 0.00765777
1513.51, 0.00765109
1511.57, 0.00764722
1509.63, 0.00764645
1507.69, 0.00764881
1505.76, 0.00765408
1503.84, 0.00766186
1501.92, 0.00767165
1500, 0.00768291


