

lambda(m), Y
1.6e-06, 0.997732
1.59783e-06, 0.997761
1.59566e-06, 0.997782
1.5935e-06, 0.997791
1.59134e-06, 0.997788
1.58919e-06, 0.99777
1.58704e-06, 0.997739
1.58491e-06, 0.997696
1.58277e-06, 0.997644
1.58065e-06, 0.997588
1.57852e-06, 0.99753
1.57641e-06, 0.997474
1.5743e-06, 0.997425
1.57219e-06, 0.997384
1.57009e-06, 0.997356
1.568e-06, 0.997342
1.56591e-06, 0.997343
1.56383e-06, 0.997358
1.56175e-06, 0.997387
1.55968e-06, 0.997426
1.55762e-06, 0.997473
1.55556e-06, 0.997522
1.5535e-06, 0.99757
1.55145e-06, 0.997611
1.54941e-06, 0.997642
1.54737e-06, 0.99766
1.54534e-06, 0.997662
1.54331e-06, 0.997651
1.54128e-06, 0.997628
1.53927e-06, 0.997597
1.53725e-06, 0.997563
1.53525e-06, 0.997532
1.53325e-06, 0.997509
1.53125e-06, 0.997498
1.52926e-06, 0.997503
1.52727e-06, 0.997523
1.52529e-06, 0.997557
1.52332e-06, 0.997602
1.52135e-06, 0.997653
1.51938e-06, 0.997704
1.51742e-06, 0.997749
1.51546e-06, 0.997784
1.51351e-06, 0.997805
1.51157e-06, 0.997812
1.50963e-06, 0.997805
1.50769e-06, 0.997787
1.50576e-06, 0.997765
1.50384e-06, 0.997742
1.50192e-06, 0.997726
1.5e-06, 0.99772




lambda(m), Y
1.6e-06, 0.441835
1.59783e-06, 0.441559
1.59566e-06, 0.441291
1.5935e-06, 0.441033
1.59134e-06, 0.440786
1.58919e-06, 0.440552
1.58704e-06, 0.440332
1.58491e-06, 0.440126
1.58277e-06, 0.439934
1.58065e-06, 0.439757
1.57852e-06, 0.439593
1.57641e-06, 0.439441
1.5743e-06, 0.439299
1.57219e-06, 0.439163
1.57009e-06, 0.439032
1.568e-06, 0.438903
1.56591e-06, 0.438771
1.56383e-06, 0.438634
1.56175e-06, 0.438491
1.55968e-06, 0.438338
1.55762e-06, 0.438175
1.55556e-06, 0.438
1.5535e-06, 0.437815
1.55145e-06, 0.43762
1.54941e-06, 0.437417
1.54737e-06, 0.437207
1.54534e-06, 0.436993
1.54331e-06, 0.436777
1.54128e-06, 0.436562
1.53927e-06, 0.43635
1.53725e-06, 0.436142
1.53525e-06, 0.435942
1.53325e-06, 0.435749
1.53125e-06, 0.435565
1.52926e-06, 0.435389
1.52727e-06, 0.435221
1.52529e-06, 0.43506
1.52332e-06, 0.434905
1.52135e-06, 0.434755
1.51938e-06, 0.434608
1.51742e-06, 0.434461
1.51546e-06, 0.434315
1.51351e-06, 0.434166
1.51157e-06, 0.434014
1.50963e-06, 0.433857
1.50769e-06, 0.433695
1.50576e-06, 0.433526
1.50384e-06, 0.43335
1.50192e-06, 0.433166
1.5e-06, 0.432974




lambda(m), Y
1.6e-06, 0.441835
1.59783e-06, 0.441559
1.59566e-06, 0.441291
1.5935e-06, 0.441033
1.59134e-06, 0.440786
1.58919e-06, 0.440552
1.58704e-06, 0.440332
1.58491e-06, 0.440126
1.58277e-06, 0.439934
1.58065e-06, 0.439757
1.57852e-06, 0.439593
1.57641e-06, 0.439441
1.5743e-06, 0.439299
1.57219e-06, 0.439163
1.57009e-06, 0.439032
1.568e-06, 0.438903
1.56591e-06, 0.438771
1.56383e-06, 0.438634
1.56175e-06, 0.438491
1.55968e-06, 0.438338
1.55762e-06, 0.438175
1.55556e-06, 0.438
1.5535e-06, 0.437815
1.55145e-06, 0.43762
1.54941e-06, 0.437417
1.54737e-06, 0.437207
1.54534e-06, 0.436993
1.54331e-06, 0.436777
1.54128e-06, 0.436562
1.53927e-06, 0.43635
1.53725e-06, 0.436142
1.53525e-06, 0.435942
1.53325e-06, 0.435749
1.53125e-06, 0.435565
1.52926e-06, 0.435389
1.52727e-06, 0.435221
1.52529e-06, 0.43506
1.52332e-06, 0.434906
1.52135e-06, 0.434755
1.51938e-06, 0.434608
1.51742e-06, 0.434461
1.51546e-06, 0.434315
1.51351e-06, 0.434166
1.51157e-06, 0.434014
1.50963e-06, 0.433857
1.50769e-06, 0.433695
1.50576e-06, 0.433526
1.50384e-06, 0.43335
1.50192e-06, 0.433166
1.5e-06, 0.432974


