lambda(nm), Y
1600, -0.998751
1597.83, -0.999123
1595.66, -0.999395
1593.5, -0.999492
1591.34, -0.999397
1589.19, -0.999165
1587.04, -0.998898
1584.91, -0.998711
1582.77, -0.998685
1580.65, -0.99884
1578.52, -0.999133
1576.41, -0.999469
1574.3, -0.999746
1572.19, -0.999886
1570.09, -0.999865
1568, -0.99971
1565.91, -0.999488
1563.83, -0.999279
1561.75, -0.999147
1559.68, -0.999121
1557.62, -0.9992
1555.56, -0.99935
1553.5, -0.999528
1551.45, -0.999693
1549.41, -0.999815
1547.37, -0.99988
1545.34, -0.999892
1543.31, -0.999863
1541.28, -0.999815
1539.27, -0.999766
1537.25, -0.999734
1535.25, -0.999726
1533.25, -0.99974
1531.25, -0.999766
1529.26, -0.999789
1527.27, -0.999796
1525.29, -0.99978
1523.32, -0.99974
1521.35, -0.999683
1519.38, -0.999621
1517.42, -0.999563
1515.46, -0.999517
1513.51, -0.999485
1511.57, -0.999467
1509.63, -0.999463
1507.69, -0.999472
1505.76, -0.999492
1503.84, -0.999516
1501.92, -0.999535
1500, -0.999536
1600, -1.54834
1597.83, -1.55364
1595.66, -1.55881
1593.5, -1.56388
1591.34, -1.56885
1589.19, -1.57374
1587.04, -1.57857
1584.91, -1.58335
1582.77, -1.58808
1580.65, -1.59276
1578.52, -1.5974
1576.41, -1.60197
1574.3, -1.60649
1572.19, -1.61093
1570.09, -1.61528
1568, -1.61954
1565.91, -1.6237
1563.83, -1.62775
1561.75, -1.63168
1559.68, -1.63549
1557.62, -1.63918
1555.56, -1.64274
1553.5, -1.64618
1551.45, -1.64951
1549.41, -1.65272
1547.37, -1.65583
1545.34, -1.65886
1543.31, -1.66181
1541.28, -1.66471
1539.27, -1.66758
1537.25, -1.67043
1535.25, -1.67329
1533.25, -1.67617
1531.25, -1.67908
1529.26, -1.68204
1527.27, -1.68504
1525.29, -1.68808
1523.32, -1.69117
1521.35, -1.69428
1519.38, -1.6974
1517.42, -1.70051
1515.46, -1.70362
1513.51, -1.70669
1511.57, -1.70973
1509.63, -1.71274
1507.69, -1.71571
1505.76, -1.71865
1503.84, -1.72159
1501.92, -1.72453
1500, -1.72749
1600, 7.81558e-05
1597.83, 7.22249e-05
1595.66, 6.60651e-05
1593.5, 5.97446e-05
1591.34, 5.33706e-05
1589.19, 4.7083e-05
1587.04, 4.10396e-05
1584.91, 3.5397e-05
1582.77, 3.02923e-05
1580.65, 2.58292e-05
1578.52, 2.20721e-05
1576.41, 1.90458e-05
1574.3, 1.67407e-05
1572.19, 1.51204e-05
1570.09, 1.41292e-05
1568, 1.36991e-05
1565.91, 1.37569e-05
1563.83, 1.42292e-05
1561.75, 1.50488e-05
1559.68, 1.61594e-05
1557.62, 1.75202e-05
1555.56, 1.91078e-05
1553.5, 2.09163e-05
1551.45, 2.29545e-05
1549.41, 2.52413e-05
1547.37, 2.77992e-05
1545.34, 3.06465e-05
1543.31, 3.37887e-05
1541.28, 3.72099e-05
1539.27, 4.0864e-05
1537.25, 4.467e-05
1535.25, 4.85111e-05
1533.25, 5.22418e-05
1531.25, 5.57017e-05
1529.26, 5.8737e-05
1527.27, 6.12238e-05
1525.29, 6.30903e-05
1523.32, 6.43307e-05
1521.35, 6.50085e-05
1519.38, 6.52463e-05
1517.42, 6.52044e-05
1515.46, 6.5053e-05
1513.51, 6.49426e-05
1511.57, 6.49783e-05
1509.63, 6.52024e-05
1507.69, 6.55865e-05
1505.76, 6.60352e-05
1503.84, 6.63989e-05
1501.92, 6.64962e-05
1500, 6.61425e-05


