lambda(nm), Y
1600, 0.997187
1597.83, 0.99739
1595.66, 0.997583
1593.5, 0.997763
1591.34, 0.99793
1589.19, 0.998083
1587.04, 0.998223
1584.91, 0.998351
1582.77, 0.998466
1580.65, 0.998572
1578.52, 0.998671
1576.41, 0.998763
1574.3, 0.998852
1572.19, 0.998938
1570.09, 0.999021
1568, 0.9991
1565.91, 0.999174
1563.83, 0.999241
1561.75, 0.999297
1559.68, 0.999342
1557.62, 0.999373
1555.56, 0.99939
1553.5, 0.999394
1551.45, 0.999387
1549.41, 0.999369
1547.37, 0.999343
1545.34, 0.999311
1543.31, 0.999274
1541.28, 0.999234
1539.27, 0.999189
1537.25, 0.999139
1535.25, 0.999084
1533.25, 0.999021
1531.25, 0.998951
1529.26, 0.998873
1527.27, 0.998787
1525.29, 0.998695
1523.32, 0.998599
1521.35, 0.998498
1519.38, 0.998396
1517.42, 0.998292
1515.46, 0.998187
1513.51, 0.998078
1511.57, 0.997966
1509.63, 0.997848
1507.69, 0.997722
1505.76, 0.997586
1503.84, 0.99744
1501.92, 0.997285
1500, 0.997122
1600, 0.285671
1597.83, 0.289061
1595.66, 0.292423
1593.5, 0.29576
1591.34, 0.299073
1589.19, 0.302367
1587.04, 0.305645
1584.91, 0.308908
1582.77, 0.312161
1580.65, 0.315407
1578.52, 0.318648
1576.41, 0.321887
1574.3, 0.325127
1572.19, 0.328369
1570.09, 0.331615
1568, 0.334866
1565.91, 0.338123
1563.83, 0.341385
1561.75, 0.344651
1559.68, 0.34792
1557.62, 0.35119
1555.56, 0.354457
1553.5, 0.357718
1551.45, 0.360968
1549.41, 0.364203
1547.37, 0.367416
1545.34, 0.370603
1543.31, 0.373756
1541.28, 0.37687
1539.27, 0.379936
1537.25, 0.382949
1535.25, 0.385901
1533.25, 0.388786
1531.25, 0.391599
1529.26, 0.394332
1527.27, 0.396981
1525.29, 0.399542
1523.32, 0.402009
1521.35, 0.40438
1519.38, 0.406653
1517.42, 0.408826
1515.46, 0.410897
1513.51, 0.412867
1511.57, 0.414736
1509.63, 0.416506
1507.69, 0.418177
1505.76, 0.419753
1503.84, 0.421236
1501.92, 0.422628
1500, 0.423934
1600, 0.015479
1597.83, 0.0149768
1595.66, 0.0144907
1593.5, 0.0140202
1591.34, 0.0135649
1589.19, 0.0131244
1587.04, 0.0126984
1584.91, 0.0122866
1582.77, 0.0118887
1580.65, 0.0115046
1578.52, 0.0111342
1576.41, 0.0107774
1574.3, 0.0104343
1572.19, 0.010105
1570.09, 0.0097893
1568, 0.00948744
1565.91, 0.00919939
1563.83, 0.00892516
1561.75, 0.00866469
1559.68, 0.00841791
1557.62, 0.00818467
1555.56, 0.00796476
1553.5, 0.00775792
1551.45, 0.00756382
1549.41, 0.00738209
1547.37, 0.00721232
1545.34, 0.00705404
1543.31, 0.0069068
1541.28, 0.00677012
1539.27, 0.00664353
1537.25, 0.00652661
1535.25, 0.00641895
1533.25, 0.00632022
1531.25, 0.00623015
1529.26, 0.00614857
1527.27, 0.00607535
1525.29, 0.00601049
1523.32, 0.00595403
1521.35, 0.00590609
1519.38, 0.00586687
1517.42, 0.00583659
1515.46, 0.00581548
1513.51, 0.00580379
1511.57, 0.00580175
1509.63, 0.00580953
1507.69, 0.00582725
1505.76, 0.00585495
1503.84, 0.0058926
1501.92, 0.00594007
1500, 0.00599714


