wavelength(nm), Y
1601.67, -3.52842
1601.56, -3.52842
1601.45, -3.52842
1601.35, -3.52842
1601.24, -3.52842
1601.13, -3.52842
1601.03, -3.52842
1600.92, -3.52842
1600.81, -3.52842
1600.71, -3.52842
1600.6, -3.52842
1600.49, -3.52842
1600.39, -3.52842
1600.28, -3.52842
1600.17, -3.52842
1600.07, -3.52842
1599.96, -3.52842
1599.85, -3.52843
1599.75, -3.52843
1599.64, -3.52844
1599.53, -3.52845
1599.43, -3.52845
1599.32, -3.52846
1599.21, -3.52847
1599.11, -3.52847
1599, -3.52848
1598.9, -3.52849
1598.79, -3.52849
1598.68, -3.5285
1598.58, -3.52851
1598.47, -3.52851
1598.36, -3.52852
1598.26, -3.52853
1598.15, -3.52853
1598.04, -3.52854
1597.94, -3.52855
1597.83, -3.52855
1597.73, -3.52857
1597.62, -3.52859
1597.51, -3.5286
1597.41, -3.52862
1597.3, -3.52863
1597.19, -3.52865
1597.09, -3.52866
1596.98, -3.52868
1596.88, -3.52869
1596.77, -3.52871
1596.66, -3.52873
1596.56, -3.52874
1596.45, -3.52876
1596.35, -3.52877
1596.24, -3.52879
1596.13, -3.5288
1596.03, -3.52882
1595.92, -3.52884
1595.82, -3.52885
1595.71, -3.52887
1595.6, -3.52889
1595.5, -3.52891
1595.39, -3.52894
1595.29, -3.52896
1595.18, -3.52899
1595.07, -3.52901
1594.97, -3.52904
1594.86, -3.52906
1594.76, -3.52909
1594.65, -3.52911
1594.54, -3.52914
1594.44, -3.52916
1594.33, -3.52919
1594.23, -3.52921
1594.12, -3.52924
1594.02, -3.52926
1593.91, -3.52929
1593.8, -3.52931
1593.7, -3.52934
1593.59, -3.52936
1593.49, -3.52939
1593.38, -3.52942
1593.28, -3.52945
1593.17, -3.52948
1593.06, -3.52952
1592.96, -3.52955
1592.85, -3.52958
1592.75, -3.52962
1592.64, -3.52965
1592.54, -3.52968
1592.43, -3.52972
1592.33, -3.52975
1592.22, -3.52978
1592.11, -3.52981
1592.01, -3.52985
1591.9, -3.52988
1591.8, -3.52991
1591.69, -3.52995
1591.59, -3.52998
1591.48, -3.53001
1591.38, -3.53005
1591.27, -3.53008
1591.16, -3.53012
1591.06, -3.53016
1590.95, -3.5302
1590.85, -3.53024
1590.74, -3.53028
1590.64, -3.53032
1590.53, -3.53036
1590.43, -3.5304
1590.32, -3.53044
1590.22, -3.53048
1590.11, -3.53051
