wavelength(nm), Y
1601.67, -5.84816
1601.56, -5.84816
1601.45, -5.84816
1601.35, -5.84816
1601.24, -5.84816
1601.13, -5.84816
1601.03, -5.84816
1600.92, -5.84816
1600.81, -5.84816
1600.71, -5.84816
1600.6, -5.84816
1600.49, -5.84816
1600.39, -5.84816
1600.28, -5.84816
1600.17, -5.84816
1600.07, -5.84816
1599.96, -5.84699
1599.85, -5.84389
1599.75, -5.8408
1599.64, -5.8377
1599.53, -5.8346
1599.43, -5.83151
1599.32, -5.82841
1599.21, -5.82532
1599.11, -5.82223
1599, -5.81914
1598.9, -5.81605
1598.79, -5.81296
1598.68, -5.80987
1598.58, -5.80678
1598.47, -5.8037
1598.36, -5.80062
1598.26, -5.79753
1598.15, -5.79445
1598.04, -5.79137
1597.94, -5.78829
1597.83, -5.78521
1597.73, -5.78218
1597.62, -5.77915
1597.51, -5.77612
1597.41, -5.77309
1597.3, -5.77007
1597.19, -5.76704
1597.09, -5.76402
1596.98, -5.76099
1596.88, -5.75797
1596.77, -5.75495
1596.66, -5.75193
1596.56, -5.74891
1596.45, -5.7459
1596.35, -5.74288
1596.24, -5.73986
1596.13, -5.73685
1596.03, -5.73384
1595.92, -5.73082
1595.82, -5.72781
1595.71, -5.7248
1595.6, -5.72181
1595.5, -5.71885
1595.39, -5.71588
1595.29, -5.71292
1595.18, -5.70996
1595.07, -5.70699
1594.97, -5.70403
1594.86, -5.70107
1594.76, -5.69812
1594.65, -5.69516
1594.54, -5.6922
1594.44, -5.68925
1594.33, -5.68629
1594.23, -5.68334
1594.12, -5.68038
1594.02, -5.67743
1593.91, -5.67448
1593.8, -5.67153
1593.7, -5.66858
1593.59, -5.66564
1593.49, -5.66269
1593.38, -5.65979
1593.28, -5.65688
1593.17, -5.65397
1593.06, -5.65107
1592.96, -5.64816
1592.85, -5.64526
1592.75, -5.64236
1592.64, -5.63946
1592.54, -5.63656
1592.43, -5.63366
1592.33, -5.63076
1592.22, -5.62787
1592.11, -5.62497
1592.01, -5.62207
1591.9, -5.61918
1591.8, -5.61629
1591.69, -5.6134
1591.59, -5.6105
1591.48, -5.60761
1591.38, -5.60473
1591.27, -5.60186
1591.16, -5.59901
1591.06, -5.59615
1590.95, -5.5933
1590.85, -5.59045
1590.74, -5.5876
1590.64, -5.58475
1590.53, -5.5819
1590.43, -5.57906
1590.32, -5.57621
1590.22, -5.57337
1590.11, -5.57052
1590.01, -5.56768
1589.9, -5.56484
1589.8, -5.56199
1589.69, -5.55915
1589.59, -5.55631
1589.48, -5.55348
1589.38, -5.55064
1589.27, -5.5478
1589.17, -5.54497
1589.06, -5.54217
1588.96, -5.53936
1588.85, -5.53656
1588.74, -5.53376
1588.64, -5.53095
1588.53, -5.52815
1588.43, -5.52535
1588.32, -5.52256
1588.22, -5.51976
1588.11, -5.51696
1588.01, -5.51416
1587.9, -5.51137
1587.8, -5.50857
1587.69, -5.50578
1587.59, -5.50299
1587.49, -5.5002
1587.38, -5.49741
1587.28, -5.49462
1587.17, -5.49183
1587.07, -5.48904
1586.96, -5.48627
1586.86, -5.48351
1586.75, -5.48075
1586.65, -5.47799
1586.54, -5.47524
1586.44, -5.47248
1586.33, -5.46972
1586.23, -5.46697
1586.12, -5.46422
1586.02, -5.46146
1585.91, -5.45871
1585.81, -5.45596
1585.7, -5.45321
1585.6, -5.45046
1585.49, -5.44771
1585.39, -5.44496
1585.29, -5.44221
1585.18, -5.43947
1585.08, -5.43672
1584.97, -5.43398
1584.87, -5.43124
1584.76, -5.42852
1584.66, -5.4258
1584.55, -5.42309
1584.45, -5.42037
1584.34, -5.41765
1584.24, -5.41494
1584.14, -5.41222
1584.03, -5.40951
1583.93, -5.4068
1583.82, -5.40408
1583.72, -5.40137
1583.61, -5.39866
1583.51, -5.39595
1583.4, -5.39324
1583.3, -5.39053
1583.2, -5.38783
1583.09, -5.38512
1582.99, -5.38242
1582.88, -5.37971
1582.78, -5.37701
1582.67, -5.37432
1582.57, -5.37164
1582.47, -5.36896
1582.36, -5.36628
1582.26, -5.3636
1582.15, -5.36092
1582.05, -5.35824
1581.95, -5.35557
1581.84, -5.35289
1581.74, -5.35021
1581.63, -5.34754
1581.53, -5.34487
1581.42, -5.34219
1581.32, -5.33952
1581.22, -5.33685
1581.11, -5.33418
1581.01, -5.33151
1580.9, -5.32884
1580.8, -5.32617
1580.7, -5.3235
1580.59, -5.32085
1580.49, -5.3182
1580.38, -5.31555
1580.28, -5.3129
1580.18, -5.31026
1580.07, -5.30761
1579.97, -5.30497
1579.86, -5.30233
1579.76, -5.29968
1579.66, -5.29704
1579.55, -5.2944
1579.45, -5.29176
1579.35, -5.28912
1579.24, -5.28648
1579.14, -5.28384
1579.03, -5.28121
1578.93, -5.27857
1578.83, -5.27594
1578.72, -5.2733
1578.62, -5.27067
1578.52, -5.26804
1578.41, -5.26542
1578.31, -5.2628
1578.2, -5.26019
1578.1, -5.25757
1578, -5.25496
1577.89, -5.25235
1577.79, -5.24973
1577.69, -5.24712
1577.58, -5.24451
1577.48, -5.2419
1577.38, -5.23929
1577.27, -5.23668
1577.17, -5.23408
1577.06, -5.23147
1576.96, -5.22886
1576.86, -5.22626
1576.75, -5.22365
1576.65, -5.22105
1576.55, -5.21845
1576.44, -5.21584
1576.34, -5.21325
1576.24, -5.21066
1576.13, -5.20808
1576.03, -5.20549
1575.93, -5.2029
1575.82, -5.20032
1575.72, -5.19774
1575.62, -5.19515
1575.51, -5.19257
1575.41, -5.18999
1575.31, -5.18741
1575.2, -5.18483
1575.1, -5.18225
1575, -5.17967
1574.89, -5.17709
1574.79, -5.17452
1574.69, -5.17194
1574.58, -5.16937
1574.48, -5.16679
1574.38, -5.16422
1574.27, -5.16165
1574.17, -5.15908
1574.07, -5.15652
1573.96, -5.15396
1573.86, -5.15141
1573.76, -5.14885
1573.66, -5.14629
1573.55, -5.14373
1573.45, -5.14118
1573.35, -5.13862
1573.24, -5.13607
1573.14, -5.13351
1573.04, -5.13096
1572.93, -5.12841
1572.83, -5.12586
1572.73, -5.12331
1572.63, -5.12076
1572.52, -5.11821
1572.42, -5.11566
1572.32, -5.11311
1572.21, -5.11057
1572.11, -5.10803
1572.01, -5.10549
1571.91, -5.10296
1571.8, -5.10042
1571.7, -5.09789
1571.6, -5.09535
1571.49, -5.09282
1571.39, -5.09029
1571.29, -5.08776
1571.19, -5.08523
1571.08, -5.0827
1570.98, -5.08017
1570.88, -5.07765
1570.77, -5.07512
1570.67, -5.07259
1570.57, -5.07007
1570.47, -5.06754
1570.36, -5.06502
1570.26, -5.06249
1570.16, -5.05997
1570.06, -5.05745
1569.95, -5.05494
1569.85, -5.05243
1569.75, -5.04992
1569.65, -5.04741
1569.54, -5.0449
1569.44, -5.04239
1569.34, -5.03988
1569.24, -5.03737
1569.13, -5.03486
1569.03, -5.03236
1568.93, -5.02985
1568.83, -5.02735
1568.72, -5.02484
1568.62, -5.02234
1568.52, -5.01984
1568.42, -5.01733
1568.31, -5.01483
1568.21, -5.01233
1568.11, -5.00983
1568.01, -5.00733
1567.9, -5.00484
1567.8, -5.00235
1567.7, -4.99986
1567.6, -4.99737
1567.5, -4.99489
1567.39, -4.9924
1567.29, -4.98991
1567.19, -4.98743
1567.09, -4.98494
1566.98, -4.98246
1566.88, -4.97997
1566.78, -4.97749
1566.68, -4.97501
1566.58, -4.97253
1566.47, -4.97005
1566.37, -4.96757
1566.27, -4.96509
1566.17, -4.96261
1566.06, -4.96013
1565.96, -4.95765
1565.86, -4.95518
1565.76, -4.95271
1565.66, -4.95024
1565.55, -4.94777
1565.45, -4.94531
1565.35, -4.94284
1565.25, -4.94038
1565.15, -4.93791
1565.04, -4.93545
1564.94, -4.93299
1564.84, -4.93052
1564.74, -4.92806
1564.64, -4.9256
1564.54, -4.92314
1564.43, -4.92068
1564.33, -4.91822
1564.23, -4.91576
1564.13, -4.91331
1564.03, -4.91085
1563.92, -4.90839
1563.82, -4.90594
1563.72, -4.90349
1563.62, -4.90105
1563.52, -4.8986
1563.42, -4.89616
1563.31, -4.89371
1563.21, -4.89127
1563.11, -4.88882
1563.01, -4.88638
1562.91, -4.88394
1562.8, -4.8815
1562.7, -4.87906
1562.6, -4.87662
1562.5, -4.87418
1562.4, -4.87174
1562.3, -4.86931
1562.2, -4.86687
1562.09, -4.86443
1561.99, -4.862
1561.89, -4.85956
1561.79, -4.85713
1561.69, -4.8547
1561.59, -4.85228
1561.48, -4.84985
1561.38, -4.84743
1561.28, -4.84501
1561.18, -4.84259
1561.08, -4.84017
1560.98, -4.83775
1560.88, -4.83533
1560.77, -4.83291
1560.67, -4.83049
1560.57, -4.82808
1560.47, -4.82566
1560.37, -4.82324
1560.27, -4.82083
1560.17, -4.81842
1560.06, -4.816
1559.96, -4.81359
1559.86, -4.81118
1559.76, -4.80876
1559.66, -4.80636
1559.56, -4.80396
1559.46, -4.80156
1559.36, -4.79916
1559.25, -4.79676
1559.15, -4.79436
1559.05, -4.79197
1558.95, -4.78957
1558.85, -4.78718
1558.75, -4.78478
1558.65, -4.78239
1558.55, -4.78
1558.45, -4.7776
1558.34, -4.77521
1558.24, -4.77282
1558.14, -4.77043
1558.04, -4.76804
1557.94, -4.76565
1557.84, -4.76326
1557.74, -4.76088
1557.64, -4.75849
1557.54, -4.75611
1557.44, -4.75374
1557.33, -4.75137
1557.23, -4.749
1557.13, -4.74663
1557.03, -4.74426
1556.93, -4.74189
1556.83, -4.73952
1556.73, -4.73715
1556.63, -4.73478
1556.53, -4.73242
1556.43, -4.73005
1556.33, -4.72769
1556.22, -4.72532
1556.12, -4.72296
1556.02, -4.72059
1555.92, -4.71823
1555.82, -4.71587
1555.72, -4.71351
1555.62, -4.71115
1555.52, -4.70879
1555.42, -4.70645
1555.32, -4.70411
1555.22, -4.70177
1555.12, -4.69942
1555.02, -4.69708
1554.92, -4.69474
1554.81, -4.69241
1554.71, -4.69007
1554.61, -4.68773
1554.51, -4.68539
1554.41, -4.68306
1554.31, -4.68072
1554.21, -4.67838
1554.11, -4.67605
1554.01, -4.67372
1553.91, -4.67138
1553.81, -4.66905
1553.71, -4.66672
1553.61, -4.66439
1553.51, -4.66205
1553.41, -4.65974
1553.31, -4.65743
1553.21, -4.65513
1553.11, -4.65282
1553.01, -4.65051
1552.91, -4.6482
1552.81, -4.6459
1552.7, -4.64359
1552.6, -4.64129
1552.5, -4.63898
1552.4, -4.63668
1552.3, -4.63438
1552.2, -4.63207
1552.1, -4.62977
1552, -4.62747
1551.9, -4.62517
1551.8, -4.62287
1551.7, -4.62057
1551.6, -4.61827
1551.5, -4.61597
1551.4, -4.61369
1551.3, -4.61142
1551.2, -4.60914
1551.1, -4.60687
1551, -4.6046
1550.9, -4.60233
1550.8, -4.60006
1550.7, -4.59779
1550.6, -4.59553
1550.5, -4.59326
1550.4, -4.59099
1550.3, -4.58873
1550.2, -4.58646
1550.1, -4.5842
1550, -4.58193
1549.9, -4.57967
1549.8, -4.5774
1549.7, -4.57514
1549.6, -4.57288
1549.5, -4.57062
1549.4, -4.56836
1549.3, -4.56612
1549.2, -4.56388
1549.1, -4.56164
1549, -4.5594
1548.9, -4.55716
1548.8, -4.55493
1548.7, -4.55269
1548.6, -4.55045
1548.5, -4.54822
1548.4, -4.54599
1548.3, -4.54377
1548.2, -4.54155
1548.1, -4.53933
1548, -4.53712
1547.9, -4.5349
1547.8, -4.53269
1547.7, -4.53048
1547.6, -4.52826
1547.5, -4.52605
1547.4, -4.52384
1547.3, -4.52165
1547.21, -4.51946
1547.11, -4.51728
1547.01, -4.51509
1546.91, -4.51291
1546.81, -4.51073
