["input","LEFT"]
["out2","RIGHT"]
["output1","RIGHT"]
("input","mode 1",1,"input",1,"transmission",8.56934e-14)
(52, 3)
1.8737028625000000e+14 4.3901865218072107e-02 -1.1951507911194728e+00
1.8762521180952381e+14 4.4507987658462339e-02 -1.2053786639124640e+00
1.8788013736904762e+14 4.4259763617972174e-02 -1.2168273624179056e+00
1.8813506292857144e+14 4.3243772458635338e-02 -1.2374547129622819e+00
1.8838998848809525e+14 4.1728149486274534e-02 -1.2745396351572957e+00
1.8864491404761903e+14 4.0129489218057722e-02 -1.3329380143049641e+00
1.8889983960714284e+14 3.8926298221561219e-02 -1.4121733187451053e+00
1.8915476516666666e+14 3.8506413840865228e-02 -1.5040199624801329e+00
1.8940969072619047e+14 3.8998277086443288e-02 -1.5942537881330865e+00
1.8966461628571428e+14 4.0203827653285909e-02 -1.6693534608255312e+00
1.8991954184523809e+14 4.1692395215303442e-02 -1.7225775930480911e+00
1.9017446740476191e+14 4.2972774071251878e-02 -1.7547528960775238e+00
1.9042939296428572e+14 4.3632722688235835e-02 -1.7716048622782465e+00
1.9068431852380953e+14 4.3413297273093725e-02 -1.7811880699267930e+00
1.9093924408333334e+14 4.2239071998483646e-02 -1.7926783743451054e+00
1.9119416964285712e+14 4.0229581497596340e-02 -1.8161234272215998e+00
1.9144909520238094e+14 3.7704469352343173e-02 -1.8621995087643597e+00
1.9170402076190475e+14 3.5176497768618253e-02 -1.9404913053922306e+00
1.9195894632142856e+14 3.3294488332937300e-02 -2.0543563702811185e+00
1.9221387188095238e+14 3.2667698956577604e-02 -2.1932673848385513e+00
1.9246879744047619e+14 3.3581216347521439e-02 -2.3321393231133518e+00
1.9272372300000000e+14 3.5830104088957093e-02 -2.4455041888655025e+00
1.9297864855952381e+14 3.8863650195914139e-02 -2.5220203118519486e+00
1.9323357411904762e+14 4.2063615977853845e-02 -2.5641939061366652e+00
1.9348849967857144e+14 4.4919773887038827e-02 -2.5806959027030443e+00
1.9359660086208747e+14 4.5936139973806078e-02 -2.5822929508881107e+00
1.9363532405457916e+14 4.6265857604846722e-02 -2.5822929508881107e+00
1.9374342523809522e+14 4.7082728738478338e-02 -2.5810433442345291e+00
1.9399835079761903e+14 4.8362452096649869e-02 -2.5737748324093705e+00
1.9425327635714284e+14 4.8715021400649226e-02 -2.5663003244679858e+00
1.9450820191666666e+14 4.8230312135738265e-02 -2.5651585496000076e+00
1.9476312747619047e+14 4.7120248139822768e-02 -2.5760873259017329e+00
1.9501805303571428e+14 4.5700989569355047e-02 -2.6035632147047130e+00
1.9527297859523809e+14 4.4357048991746022e-02 -2.6496084859814135e+00
1.9552790415476191e+14 4.3473372954847517e-02 -2.7121445636018877e+00
1.9578282971428572e+14 4.3335119412516582e-02 -2.7841663229078808e+00
1.9603775527380953e+14 4.4030849157867598e-02 -2.8554263202932324e+00
1.9629268083333331e+14 4.5419863073957074e-02 -2.9164127843730872e+00
1.9654760639285712e+14 4.7188711971352153e-02 -2.9617874988775554e+00
1.9680253195238094e+14 4.8955821876338255e-02 -2.9911036148485577e+00
1.9705745751190475e+14 5.0366713765150541e-02 -3.0074717172955161e+00
1.9731238307142856e+14 5.1155364073027766e-02 -3.0159005810612665e+00
1.9756730863095238e+14 5.1176483990655407e-02 -3.0221936831651277e+00
1.9782223419047619e+14 5.0420044781603369e-02 -3.0323920122902863e+00
1.9807715975000000e+14 4.9014221200735883e-02 -3.0524118078666893e+00
1.9833208530952381e+14 4.7215487784886150e-02 -3.0874635050749126e+00
1.9858701086904762e+14 4.5377232781328498e-02 -3.1408893780227825e+00
1.9884193642857141e+14 4.3883854010289380e-02 -3.2124185591636962e+00
1.9909686198809522e+14 4.3046831331937201e-02 -3.2967996392915384e+00
1.9935178754761903e+14 4.2994016342119114e-02 -3.3846540287306710e+00
1.9960671310714284e+14 4.3618773831389450e-02 -3.4661662693067545e+00
1.9986163866666666e+14 4.4631222511766121e-02 -3.5351676045609830e+00
("input","mode 1",1,"output1",1,"transmission",2.4047581862210322e-13)
(52, 3)
1.8737028625000000e+14 6.6540073990863224e-01 1.9515488056354198e+00
1.8762521180952381e+14 6.6534324243526788e-01 1.9523809562169427e+00
1.8788013736904762e+14 6.6526530569292863e-01 1.9531678402875352e+00
1.8813506292857144e+14 6.6517834984419100e-01 1.9539174817697222e+00
1.8838998848809525e+14 6.6508783158841989e-01 1.9546434925544174e+00
1.8864491404761903e+14 6.6499300970512076e-01 1.9553565447750509e+00
1.8889983960714284e+14 6.6489031385397601e-01 1.9560590118539949e+00
1.8915476516666666e+14 6.6477768028270434e-01 1.9567452042572056e+00
1.8940969072619047e+14 6.6465708302792492e-01 1.9574061561006677e+00
1.8966461628571428e+14 6.6453392729821015e-01 1.9580355020804825e+00
1.8991954184523809e+14 6.6441398004341923e-01 1.9586328436763827e+00
1.9017446740476191e+14 6.6429987788955269e-01 1.9592029339226888e+00
1.9042939296428572e+14 6.6418927305483377e-01 1.9597516450469219e+00
1.9068431852380953e+14 6.6407551416259181e-01 1.9602814176449024e+00
