["input","LEFT"]
["out2","RIGHT"]
["output1","RIGHT"]
("input","mode 1",1,"input",1,"transmission",3.03436e-14)
(52, 3)
1.8737028625000000e+14 1.0537817109275479e-02 -1.2479218353764434e+00
1.8762521180952381e+14 1.0967847195647870e-02 -1.2571783646428718e+00
1.8788013736904762e+14 1.1438832913486716e-02 -1.2278103491220529e+00
1.8813506292857144e+14 1.1846247150732582e-02 -1.1652534700669324e+00
1.8838998848809525e+14 1.2130115467222464e-02 -1.0756540515798800e+00
1.8864491404761903e+14 1.2265762310784160e-02 -9.6440704277717237e-01
1.8889983960714284e+14 1.2253281138390278e-02 -8.3599900683261352e-01
1.8915476516666666e+14 1.2108172091638093e-02 -6.9430520075944724e-01
1.8940969072619047e+14 1.1853413955381732e-02 -5.4296337072623546e-01
1.8966461628571428e+14 1.1512972511222122e-02 -3.8568324557898453e-01
1.8991954184523809e+14 1.1106995311044685e-02 -2.2644151385261344e-01
1.9017446740476191e+14 1.0649137104075578e-02 -6.9557693932750769e-02
1.9042939296428572e+14 1.0146387750206301e-02 8.0311166913161716e-02
1.9068431852380953e+14 9.6014321290652776e-03 2.1818234820245078e-01
1.9093924408333334e+14 9.0171418483436429e-03 3.3868606173105298e-01
1.9119416964285712e+14 8.4025267142037539e-03 4.3590606094113543e-01
1.9144909520238094e+14 7.7794248432517549e-03 5.0324987508380992e-01
1.9170402076190475e+14 7.1890033212153211e-03 5.3380187620067043e-01
1.9195894632142856e+14 6.6957404922885870e-03 5.2214697317063496e-01
1.9221387188095238e+14 6.3828647473132957e-03 4.6876333753995425e-01
1.9246879744047619e+14 6.3304648901283331e-03 3.8545844921616257e-01
1.9272372300000000e+14 6.5788813707948817e-03 2.9476297698420101e-01
1.9297864855952381e+14 7.1057643888749050e-03 2.1905407851227376e-01
1.9323357411904762e+14 7.8403035667283395e-03 1.6988983107447919e-01
1.9348849967857144e+14 8.6962527197950029e-03 1.4772109644720277e-01
1.9359660086208747e+14 9.0762027119284366e-03 1.4529996839205483e-01
1.9363532405457916e+14 9.2131355916615330e-03 1.4529996839205483e-01
1.9374342523809522e+14 9.5951799839403013e-03 1.4746186565459715e-01
1.9399835079761903e+14 1.0474615542865521e-02 1.6293048259038506e-01
1.9425327635714284e+14 1.1288248347174568e-02 1.8873596719806968e-01
1.9450820191666666e+14 1.2003764628434626e-02 2.2069214101686305e-01
1.9476312747619047e+14 1.2600453791378436e-02 2.5569617393901695e-01
1.9501805303571428e+14 1.3067043147174327e-02 2.9149182164018883e-01
1.9527297859523809e+14 1.3399756870439856e-02 3.2645292615805588e-01
1.9552790415476191e+14 1.3600557820153061e-02 3.5941373528067844e-01
1.9578282971428572e+14 1.3675587861071998e-02 3.8954028571040294e-01
1.9603775527380953e+14 1.3633864929105512e-02 4.1623209021077462e-01
1.9629268083333331e+14 1.3486296096232930e-02 4.3904674644326086e-01
1.9654760639285712e+14 1.3245025300491637e-02 4.5764526962556096e-01
1.9680253195238094e+14 1.2923064361517904e-02 4.7176053687579178e-01
1.9705745751190475e+14 1.2534076396273238e-02 4.8119397729244989e-01
1.9731238307142856e+14 1.2092116646809325e-02 4.8584546790706312e-01
1.9756730863095238e+14 1.1611113483225107e-02 4.8577711219369901e-01
1.9782223419047619e+14 1.1103916405212843e-02 4.8130219923903794e-01
1.9807715975000000e+14 1.0580864481834155e-02 4.7307667654213004e-01
1.9833208530952381e+14 1.0048032212439304e-02 4.6215617355058813e-01
1.9858701086904762e+14 9.5055419523942895e-03 4.4997625061323471e-01
1.9884193642857141e+14 8.9464922368005257e-03 4.3822755309748102e-01
1.9909686198809522e+14 8.3570220747482358e-03 4.2863196487324173e-01
1.9935178754761903e+14 7.7177655606131580e-03 4.2266320392795970e-01
1.9960671310714284e+14 7.0065442331579790e-03 4.2126555099507618e-01
1.9986163866666666e+14 6.2017950557012409e-03 4.2458267054412679e-01
("input","mode 1",1,"output1",1,"transmission",1.9923210259664710e-13)
(52, 3)
1.8737028625000000e+14 5.1004020886801038e-01 1.6672647808691845e+00
1.8762521180952381e+14 5.1375063091331175e-01 1.6410121257793322e+00
1.8788013736904762e+14 5.1737743737132258e-01 1.6159215376107403e+00
1.8813506292857144e+14 5.2093180865527067e-01 1.5919735666426389e+00
1.8838998848809525e+14 5.2442972452659453e-01 1.5691575257965671e+00
1.8864491404761903e+14 5.2788807122528403e-01 1.5474736387163970e+00
1.8889983960714284e+14 5.3132096507190296e-01 1.5269304634342540e+00
1.8915476516666666e+14 5.3473773151011295e-01 1.5075393085537299e+00
1.8940969072619047e+14 5.3814306979722171e-01 1.4893085235277033e+00
1.8966461628571428e+14 5.4153884433450339e-01 1.4722402202537561e+00
1.8991954184523809e+14 5.4492623101222482e-01 1.4563304329487747e+00
1.9017446740476191e+14 5.4830695299614318e-01 1.4415718211242430e+00
1.9042939296428572e+14 5.5168302027523253e-01 1.4279567816576599e+00
1.9068431852380953e+14 5.5505533793055795e-01 1.4154788784158419e+00
1.9093924408333334e+14 5.5842223111672473e-01 1.4041317209454718e+00
1.9119416964285712e+14 5.6177897531851029e-01 1.3939060838533437e+00
1.9144909520238094e+14 5.6511881165549227e-01 1.3847871972826622e+00
1.9170402076190475e+14 5.6843502696923898e-01 1.3767541170582609e+00
1.9195894632142856e+14 5.7172300795833053e-01 1.3697819259841595e+00
1.9221387188095238e+14 5.7498113106551374e-01 1.3638458929741741e+00
1.9246879744047619e+14 5.7820996707250905e-01 1.3589255583636850e+00
1.9272372300000000e+14 5.8141022020355926e-01 1.3550066954856499e+00
1.9297864855952381e+14 5.8458054993992126e-01 1.3520802478502487e+00
1.9323357411904762e+14 5.8771651461582486e-01 1.3501390193261207e+00
1.9348849967857144e+14 5.9081126026192587e-01 1.3491741551534031e+00
1.9359660086208747e+14 5.9210933845977032e-01 1.3490569517515409e+00
1.9363532405457916e+14 5.9257210912892488e-01 1.3490569517515412e+00
1.9374342523809522e+14 5.9385758801320165e-01 1.3491735711319002e+00
1.9399835079761903e+14 5.9685022380078623e-01 1.3501233753981319e+00
1.9425327635714284e+14 5.9978695774221202e-01 1.3520115873347360e+00
1.9450820191666666e+14 6.0266793460142531e-01 1.3548320725637351e+00
1.9476312747619047e+14 6.0549343617735418e-01 1.3585863913331211e+00
1.9501805303571428e+14 6.0826140251938898e-01 1.3632823659979145e+00
1.9527297859523809e+14 6.1096615595364867e-01 1.3689300172158101e+00
1.9552790415476191e+14 6.1359916064603282e-01 1.3755370604433010e+00
1.9578282971428572e+14 6.1615149326286556e-01 1.3831064900761980e+00
1.9603775527380953e+14 6.1861666060783882e-01 1.3916376535343713e+00
1.9629268083333331e+14 6.2099209561531310e-01 1.4011302020520160e+00
1.9654760639285712e+14 6.2327832907899283e-01 1.4115885176805063e+00
1.9680253195238094e+14 6.2547615631361464e-01 1.4230237177438647e+00
1.9705745751190475e+14 6.2758337196634928e-01 1.4354515159797385e+00
1.9731238307142856e+14 6.2959309260911334e-01 1.4488865231880450e+00
1.9756730863095238e+14 6.3149499298592893e-01 1.4633357682990238e+00
1.9782223419047619e+14 6.3327923525080154e-01 1.4787950494804094e+00
1.9807715975000000e+14 6.3494126485671276e-01 1.4952505834250942e+00
1.9833208530952381e+14 6.3648488881823073e-01 1.5126857549853490e+00
1.9858701086904762e+14 6.3792166585280918e-01 1.5310899188895162e+00
1.9884193642857141e+14 6.3926642336694406e-01 1.5504647386342241e+00
1.9909686198809522e+14 6.4053079271546620e-01 1.5708243986282295e+00
1.9935178754761903e+14 6.4171791066979822e-01 1.5921889265687197e+00
1.9960671310714284e+14 6.4282113403277108e-01 1.6145734252951116e+00
1.9986163866666666e+14 6.4382779605237006e-01 1.6379784150536354e+00
("input","mode 1",1,"out2",1,"transmission",1.9925311640324104e-13)
(52, 3)
1.8737028625000000e+14 5.1021232519824689e-01 1.6729464249259403e+00
1.8762521180952381e+14 5.1391967820587026e-01 1.6467052949847929e+00
1.8788013736904762e+14 5.1754342737867931e-01 1.6216263412403735e+00
1.8813506292857144e+14 5.2109480311417178e-01 1.5976899646807989e+00
